"age_group","date","J12_18","A10_B99_nopneumo","A17","A18","A19","A39","A41","B20_24","B34","B96","B97","B99","C00_D48","D50_89","E00_99","E10_14","E40_46","G00_99_SY","H00_99_SY","I00_99","I60_64","cJ20_J22","K00_99","K35","K80","L00_99","M00_99","N00_99","N39","P00_99","P05_07","Q00_99","S00_T99","U00_99","V00_Y99","Z00_99","ach_noj"
0,"2003-01-01",1869,831,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,60,70,370,2,156,160,39,45,NA,263,373,NA,NA,86,19,196,25,8305,2662,331,106,NA,NA,131,12931
0,"2003-02-01",2043,770,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,61,52,391,4,139,136,52,34,NA,380,353,NA,NA,87,26,218,28,7908,2452,313,128,NA,NA,103,12285
0,"2003-03-01",3036,915,NA,NA,NA,NA,228,NA,NA,NA,NA,NA,76,58,426,2,147,145,56,51,NA,701,384,NA,NA,86,28,194,26,8781,2757,380,106,NA,NA,116,13651
0,"2003-04-01",4323,892,NA,NA,NA,NA,259,NA,NA,NA,NA,NA,82,66,357,5,142,176,49,51,NA,1082,402,NA,NA,105,27,202,31,8675,2602,420,110,NA,NA,129,13409
0,"2003-05-01",4638,919,NA,NA,NA,NA,258,NA,NA,NA,NA,NA,81,78,392,4,150,172,47,61,NA,1083,400,NA,NA,93,36,177,22,9621,3073,471,119,NA,NA,121,14167
0,"2003-06-01",4187,932,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,101,54,342,3,136,181,60,71,NA,977,483,NA,NA,94,32,149,26,9865,3071,538,117,NA,NA,122,14498
0,"2003-07-01",3808,1179,NA,NA,NA,NA,340,NA,NA,NA,NA,NA,109,83,390,6,145,253,79,86,NA,906,636,NA,NA,115,49,202,39,11617,3791,719,161,NA,NA,168,17422
0,"2003-08-01",2734,1153,NA,NA,NA,NA,312,NA,NA,NA,NA,NA,130,79,412,7,145,268,106,96,NA,691,699,NA,NA,127,52,223,35,12424,3936,714,167,NA,NA,131,18343
0,"2003-09-01",2666,1233,NA,NA,NA,NA,329,NA,NA,NA,NA,NA,163,84,404,12,149,283,66,87,NA,570,659,NA,NA,129,40,260,51,12300,3748,723,164,NA,NA,133,18280
0,"2003-10-01",2546,1103,NA,NA,NA,NA,310,NA,NA,NA,NA,NA,139,100,419,4,155,260,89,84,NA,546,662,NA,NA,121,44,262,43,12636,3829,762,181,NA,NA,183,18633
0,"2003-11-01",2342,1073,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,105,94,366,15,135,242,80,80,NA,475,587,NA,NA,119,48,231,59,12158,3787,613,179,NA,NA,145,17560
0,"2003-12-01",2152,1216,NA,NA,NA,NA,331,NA,NA,NA,NA,NA,109,104,406,7,143,233,75,84,NA,364,544,NA,NA,117,35,271,48,12698,4168,719,138,NA,NA,161,18475
