"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0","0.752154201890597","0.841391563930915","1.03178796671097","cJ20_J22","1","0.72","0.88","1.07","cJ20_J22","1","0.72","0.87","1.13","cJ20_J22","1","0.74","0.88","1.1"
"1","0.726627125466194","0.773691405624206","0.821898769590999","cJ20_J22","1","0.68","0.75","0.88","cJ20_J22","1","0.71","0.75","0.96","cJ20_J22","1","0.69","0.75","0.94"
"2","0.72312583772193","0.763104154639896","0.869780704997717","cJ20_J22","1","0.74","0.8","0.96","cJ20_J22","1","0.74","0.81","0.95","cJ20_J22","1","0.71","0.79","0.98"
"3","0.733865660473669","0.791306579103258","0.907250876248737","K00_99","0.91","0.7","0.78","0.93","K00_99","0.91","0.71","0.79","0.9","K00_99","0.91","0.71","0.77","0.96"
"4","0.647270892081741","0.793721663984575","0.899280125062391","pandemic","1","0.56","0.71","0.83","pandemic","1","0.63","0.74","0.84","pandemic","1","0.59","0.71","0.79"
"5","0.676855038237936","0.800825173203168","0.897791403404714","pandemic","1","0.56","0.65","0.78","pandemic","1","0.56","0.63","0.78","pandemic","1","0.56","0.65","0.85"
"6","0.779999489609903","0.935288435258151","1.12797620167585","pandemic","1","0.71","1","1.08","pandemic","1","0.71","0.83","0.96","pandemic","1","0.68","0.83","1.05"
"7","0.903022748977169","0.988326866132911","1.40567429845243","cJ20_J22","1","0.79","0.9","1.32","cJ20_J22","1","0.8","0.95","1.4","cJ20_J22","1","0.78","0.91","1.31"
"8","0.86835693351675","0.991413652178399","1.18617246868687","A41","0.78","0.92","1.05","1.21","A41","0.78","0.92","1.05","1.2","A41","0.78","0.82","1.04","1.17"
"9","0.716330154573187","0.753466063521301","0.951398030283995","cJ20_J22","1","0.71","0.79","0.97","cJ20_J22","1","0.76","0.87","0.97","cJ20_J22","1","0.76","0.87","1.01"
