"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","0.84 (0.75, 1.03)","cJ20_J22","1","0.88 (0.72, 1.07)","cJ20_J22","1","0.87 (0.72, 1.13)","cJ20_J22","1","0.88 (0.74, 1.1)"
"1","0.77 (0.73, 0.82)","cJ20_J22","1","0.75 (0.68, 0.88)","cJ20_J22","1","0.75 (0.71, 0.96)","cJ20_J22","1","0.75 (0.69, 0.94)"
"2","0.76 (0.72, 0.87)","cJ20_J22","1","0.8 (0.74, 0.96)","cJ20_J22","1","0.81 (0.74, 0.95)","cJ20_J22","1","0.79 (0.71, 0.98)"
"3","0.79 (0.73, 0.91)","K00_99","0.91","0.78 (0.7, 0.93)","K00_99","0.91","0.79 (0.71, 0.9)","K00_99","0.91","0.77 (0.71, 0.96)"
"4","0.79 (0.65, 0.9)","pandemic","1","0.71 (0.56, 0.83)","pandemic","1","0.74 (0.63, 0.84)","pandemic","1","0.71 (0.59, 0.79)"
"5","0.8 (0.68, 0.9)","pandemic","1","0.65 (0.56, 0.78)","pandemic","1","0.63 (0.56, 0.78)","pandemic","1","0.65 (0.56, 0.85)"
"6","0.94 (0.78, 1.13)","pandemic","1","1 (0.71, 1.08)","pandemic","1","0.83 (0.71, 0.96)","pandemic","1","0.83 (0.68, 1.05)"
"7","0.99 (0.9, 1.41)","cJ20_J22","1","0.9 (0.79, 1.32)","cJ20_J22","1","0.95 (0.8, 1.4)","cJ20_J22","1","0.91 (0.78, 1.31)"
"8","0.99 (0.87, 1.19)","A41","0.78","1.05 (0.92, 1.21)","A41","0.78","1.05 (0.92, 1.2)","A41","0.78","1.04 (0.82, 1.17)"
"9","0.75 (0.72, 0.95)","cJ20_J22","1","0.79 (0.71, 0.97)","cJ20_J22","1","0.87 (0.76, 0.97)","cJ20_J22","1","0.87 (0.76, 1.01)"
