"","ITS Lower CI","ITS Point Estimate","ITS Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0",0.75,0.86,0.99,"0.751195158780531","0.821939551677116","1.00588592829977","cJ20_J22","1","0.69","0.85","1.1","cJ20_J22","1","0.72","0.89","1.09","cJ20_J22","1","0.72","0.91","1.13"
"1",0.63,0.71,0.82,"0.719489643718605","0.769602192747149","0.814759849616974","cJ20_J22","1","0.68","0.75","0.85","cJ20_J22","1","0.67","0.75","0.92","cJ20_J22","1","0.71","0.76","0.93"
"2",0.67,0.76,0.88,"0.728129815090659","0.765728372243616","0.862316001953462","cJ20_J22","1","0.69","0.79","0.95","cJ20_J22","1","0.74","0.81","0.93","cJ20_J22","1","0.69","0.77","0.96"
"3",0.79,0.86,0.9,"0.715752553531197","0.769254562326013","0.886275559716049","cJ20_J22","1","0.69","0.75","0.89","cJ20_J22","1","0.72","0.8","0.88","cJ20_J22","1","0.69","0.77","0.88"
"4",0.75,0.8,0.86,"0.683850774367368","0.784347016327879","0.955792958393441","pandemic","1","0.57","0.65","0.74","pandemic","1","0.62","0.75","0.84","pandemic","1","0.55","0.7","0.83"
"5",0.8,0.86,0.93,"0.673541163534471","0.759010363497358","0.8751198916006","pandemic","1","0.55","0.64","0.81","pandemic","1","0.54","0.63","0.87","pandemic","1","0.55","0.63","0.8"
"6",0.9,0.99,1.04,"0.833811889186415","1.02456211082744","1.10749042951704","pandemic","1","0.73","0.84","0.96","pandemic","1","0.69","0.87","1","pandemic","1","0.71","0.86","1.04"
"7",0.87,0.97,1.14,"0.812248067856018","0.93341231261569","1.25459401149262","I00_99","0.76","0.87","0.97","1.12","I00_99","0.76","0.87","0.97","1.21","I00_99","0.76","0.9","1.07","1.23"
"8",0.9,0.98,1.06,"0.888367973265091","0.997333179777959","1.1673563408817","A41","0.77","0.9","1.04","1.17","A41","0.77","0.9","1.03","1.18","A41","0.77","0.9","1.03","1.23"
"9",0.72,0.78,0.83,"0.706742346226425","0.749294352012947","0.95743818892667","cJ20_J22","1","0.7","0.82","0.94","cJ20_J22","1","0.69","0.78","0.94","cJ20_J22","1","0.65","0.75","0.91"
