"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","0.86 (0.75, 0.99)","0.82 (0.75, 1.01)","cJ20_J22","1","0.85 (0.69, 1.1)","cJ20_J22","1","0.89 (0.72, 1.09)","cJ20_J22","1","0.91 (0.72, 1.13)"
"1","0.71 (0.63, 0.82)","0.77 (0.72, 0.81)","cJ20_J22","1","0.75 (0.68, 0.85)","cJ20_J22","1","0.75 (0.67, 0.92)","cJ20_J22","1","0.76 (0.71, 0.93)"
"2","0.76 (0.67, 0.88)","0.77 (0.73, 0.86)","cJ20_J22","1","0.79 (0.69, 0.95)","cJ20_J22","1","0.81 (0.74, 0.93)","cJ20_J22","1","0.77 (0.69, 0.96)"
"3","0.86 (0.79, 0.9)","0.77 (0.72, 0.89)","cJ20_J22","1","0.75 (0.69, 0.89)","cJ20_J22","1","0.8 (0.72, 0.88)","cJ20_J22","1","0.77 (0.69, 0.88)"
"4","0.8 (0.75, 0.86)","0.78 (0.68, 0.96)","pandemic","1","0.65 (0.57, 0.74)","pandemic","1","0.75 (0.62, 0.84)","pandemic","1","0.7 (0.55, 0.83)"
"5","0.86 (0.8, 0.93)","0.76 (0.67, 0.88)","pandemic","1","0.64 (0.55, 0.81)","pandemic","1","0.63 (0.54, 0.87)","pandemic","1","0.63 (0.55, 0.8)"
"6","0.99 (0.9, 1.04)","1.02 (0.83, 1.11)","pandemic","1","0.84 (0.73, 0.96)","pandemic","1","0.87 (0.69, 1)","pandemic","1","0.86 (0.71, 1.04)"
"7","0.97 (0.87, 1.14)","0.93 (0.81, 1.25)","I00_99","0.76","0.97 (0.87, 1.12)","I00_99","0.76","0.97 (0.87, 1.21)","I00_99","0.76","1.07 (0.9, 1.23)"
"8","0.98 (0.9, 1.06)","1 (0.89, 1.17)","A41","0.77","1.04 (0.9, 1.17)","A41","0.77","1.03 (0.9, 1.18)","A41","0.77","1.03 (0.9, 1.23)"
"9","0.78 (0.72, 0.83)","0.75 (0.71, 0.96)","cJ20_J22","1","0.82 (0.7, 0.94)","cJ20_J22","1","0.78 (0.69, 0.94)","cJ20_J22","1","0.75 (0.65, 0.91)"
