"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0",0.74,0.86,0.98,"0.750575709138197","0.817302161104145","0.971630030677697","cJ20_J22","1","0.74","0.87","1.12","E00_99","1","0.72","0.87","1.13","S00_T99","0.4","0.73","0.91","1.11"
"1",0.63,0.72,0.82,"0.719719103341777","0.769122147642174","0.813246299978728","cJ20_J22","1","0.69","0.75","0.86","E40_46","1","0.7","0.76","0.94","K00_99","0.24","0.72","0.76","0.93"
"2",0.67,0.76,0.85,"0.726297379848406","0.76268491808165","0.801048947406102","cJ20_J22","1","0.7","0.76","0.95","E40_46","1","0.67","0.75","0.91","N39","0.62","0.72","0.83","0.93"
"3",0.72,0.82,0.91,"0.714115597445342","0.783990115854028","0.843839784599051","K00_99","0.54","0.71","0.76","0.93","cJ20_J22","0.45","0.7","0.75","0.88","E40_46","0.28","0.71","0.75","0.9"
"4",0.7,0.79,0.9,"0.745950115148326","0.812678894501568","0.896187800819928","pandemic","1","0.56","0.68","0.81","N00_99","0.97","0.59","0.74","0.81","N39","0.61","0.55","0.75","0.83"
"5",0.72,0.83,0.96,"0.744752357517102","0.820405682832343","0.905760366376338","pandemic","1","0.58","0.68","0.81","I00_99","1","0.55","0.63","0.8","A41","1","0.69","0.79","0.88"
"6",0.85,0.95,1.06,"0.817365548881028","1.00697945462476","1.11648629779317","pandemic","1","0.72","0.85","0.95","L00_99","0.37","0.68","0.8","0.92","E00_99","0.34","0.71","0.85","1.06"
"7",0.88,0.97,1.07,"0.821716332775023","0.932051287606651","1.06591461701229","I00_99","0.62","0.86","1.11","1.27","A41","0.59","0.93","1.11","1.23","H00_99_SY","0.39","0.86","1.09","1.21"
"8",0.91,0.98,1.08,"0.874520370510089","0.979175571771678","1.08475109956537","A41","0.75","0.89","1.03","1.17","I00_99","0.22","0.9","1.03","1.15","L00_99","0.16","0.86","1.03","1.18"
"9",0.64,0.72,0.84,"0.713812421285339","0.752171545524532","0.820460893237576","cJ20_J22","1","0.71","0.85","1.04","E40_46","1","0.7","0.81","0.93","K00_99","0.09","0.69","0.85","0.93"
