"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","0.85 (0.73, 0.99)","0.83 (0.75, 0.98)","cJ20_J22","1","0.87 (0.72, 1.1)","E00_99","1","0.89 (0.73, 1.09)","M00_99","0.5","0.89 (0.73, 1.12)"
"1","0.73 (0.64, 0.84)","0.77 (0.72, 0.81)","cJ20_J22","1","0.75 (0.71, 0.83)","E40_46","1","0.75 (0.69, 0.87)","K00_99","0.24","0.76 (0.69, 0.84)"
"2","0.75 (0.66, 0.86)","0.77 (0.73, 0.82)","cJ20_J22","1","0.73 (0.67, 0.94)","E40_46","1","0.76 (0.67, 0.93)","N39","0.47","0.76 (0.67, 0.9)"
"3","0.82 (0.73, 0.91)","0.76 (0.71, 0.82)","cJ20_J22","1","0.79 (0.73, 0.87)","P00_99","0.77","0.78 (0.72, 0.95)","N39","0.25","0.78 (0.71, 0.94)"
"4","0.79 (0.68, 0.9)","0.78 (0.71, 0.87)","pandemic","1","0.73 (0.59, 0.82)","E00_99","0.82","0.74 (0.6, 0.9)","Z00_99","0.79","0.73 (0.62, 0.81)"
"5","0.85 (0.72, 0.97)","0.81 (0.72, 0.89)","pandemic","1","0.64 (0.54, 0.8)","A41","1","0.78 (0.63, 0.89)","I00_99","1","0.77 (0.62, 0.9)"
"6","0.94 (0.85, 1.04)","1.06 (0.99, 1.12)","pandemic","1","0.88 (0.69, 1.02)","E00_99","1","0.82 (0.71, 0.93)","Q00_99","0.07","0.81 (0.68, 0.92)"
"7","0.96 (0.87, 1.05)","0.88 (0.8, 1)","I00_99","0.69","1.07 (0.91, 1.24)","A41","0.68","1.03 (0.89, 1.15)","L00_99","0.33","1.12 (0.94, 1.24)"
"8","0.99 (0.91, 1.09)","1 (0.89, 1.13)","A41","0.44","1.05 (0.92, 1.2)","I60_64","0.37","1.04 (0.89, 1.18)","K80","0.36","1.04 (0.92, 1.18)"
"9","0.73 (0.64, 0.83)","0.75 (0.71, 0.79)","cJ20_J22","1","0.82 (0.7, 0.95)","E40_46","1","0.86 (0.76, 0.97)","pandemic","0.03","0.75 (0.67, 0.89)"
