"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","0.84 (0.75, 1.01)","cJ20_J22","1","0.91 (0.75, 1.1)","E00_99","1","0.91 (0.74, 1.13)","S00_T99","0.36","0.88 (0.76, 1.15)"
"1","0.77 (0.73, 0.81)","cJ20_J22","1","0.75 (0.71, 0.8)","E40_46","1","0.75 (0.7, 0.8)","K00_99","0.05","0.75 (0.69, 0.79)"
"2","0.77 (0.72, 0.82)","cJ20_J22","1","0.79 (0.72, 0.87)","E40_46","1","0.74 (0.68, 0.85)","P00_99","0.37","0.75 (0.67, 0.8)"
"3","0.75 (0.71, 0.84)","cJ20_J22","0.4","0.79 (0.72, 0.85)","K00_99","0.33","0.74 (0.7, 0.78)","L00_99","0.29","0.74 (0.69, 0.79)"
"4","0.8 (0.72, 0.91)","pandemic","1","0.73 (0.66, 0.81)","E00_99","0.69","0.74 (0.64, 0.84)","A10_B99_nopneumo","0.63","0.72 (0.62, 0.87)"
"5","0.82 (0.73, 0.91)","pandemic","1","0.64 (0.57, 0.73)","A41","0.85","0.78 (0.66, 0.86)","K80","0.81","0.72 (0.64, 0.79)"
"6","0.96 (0.83, 1.1)","pandemic","1","0.85 (0.75, 1.1)","Z00_99","0.51","0.85 (0.74, 0.96)","E10_14","0.42","1.01 (0.79, 1.09)"
"7","0.88 (0.79, 0.98)","A41","1","1.02 (0.85, 1.18)","I00_99","1","1 (0.9, 1.11)","K00_99","0.11","1.05 (0.84, 1.16)"
"8","1.01 (0.9, 1.14)","A41","0.6","1.04 (0.88, 1.15)","I00_99","0.47","1.01 (0.9, 1.11)","H00_99_SY","0.44","0.97 (0.86, 1.09)"
"9","0.75 (0.71, 0.79)","cJ20_J22","1","0.85 (0.78, 0.95)","E40_46","1","0.8 (0.7, 1)","H00_99_SY","0.06","0.76 (0.68, 0.91)"
