"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0",0.73,0.86,0.98,"0.747830177000413","0.820193617147256","0.978283514892565","cJ20_J22","1","0.75","0.94","1.15","E00_99","1","0.76","0.91","1.15","ach_noj","0.4","0.73","0.82","1.04"
"1",0.61,0.72,0.82,"0.736051514422212","0.774754685703591","0.813807821925996","cJ20_J22","1","0.7","0.75","0.79","E40_46","1","0.71","0.75","0.79","B20_24","0.02","0.7","0.75","0.79"
"2",0.66,0.76,0.87,"0.723061662788104","0.767433385657621","0.81738125076451","cJ20_J22","1","0.72","0.78","0.85","E40_46","0.97","0.72","0.78","0.88","N39","0.53","0.67","0.76","0.89"
"3",0.74,0.82,0.91,"0.749442908693696","0.796697349152658","0.846406509145849","K00_99","1","0.71","0.77","0.83","L00_99","0.3","0.7","0.75","0.82","M00_99","0.26","0.72","0.78","0.85"
"4",0.67,0.77,0.86,"0.715949334330467","0.796729538008857","0.91432274519277","pandemic","1","0.66","0.73","0.82","N39","0.84","0.68","0.75","0.84","Z00_99","0.55","0.67","0.75","0.89"
"5",0.73,0.85,0.96,"0.718849173758171","0.817883419595038","0.89341716022304","pandemic","1","0.62","0.7","0.79","A41","1","0.67","0.83","0.96","I00_99","0.89","0.74","0.82","0.9"
"6",0.85,0.95,1.05,"0.963587582087056","1.06055018410152","1.18864160479188","pandemic","1","0.77","0.87","1.07","E10_14","0.59","0.77","0.85","0.97","E00_99","0.41","0.73","0.84","0.96"
"7",0.88,0.97,1.07,"0.930815353928449","1.09886101531655","1.18378476400851","E00_99","0.89","0.89","0.98","1.1","I60_64","0.31","0.84","0.96","1.09","cJ20_J22","0.15","0.79","0.89","0.97"
"8",0.9,0.99,1.08,"0.882212980609307","0.974925808923074","1.09501562633243","A41","0.96","0.89","1.03","1.14","I00_99","0.4","0.92","1","1.09","L00_99","0.15","0.88","1.01","1.14"
"9",0.67,0.74,0.84,"0.715526491274655","0.749386866314224","0.788740991318847","cJ20_J22","1","0.71","0.83","1.01","E40_46","1","0.78","0.85","0.96","C00_D48","0.1","0.68","0.73","0.81"
