"","Lower CI","Point Estimate","Upper CI"
"08_1_11",1.15198237885463,1.37812911725955,1.60183767228178
"08_1_12",1.12034383954155,1.34364261168385,1.59591836734694
"08_1_13",0.84610883557636,1.07190511489993,1.39041807025986
"08_1_15",1.02808904898317,1.21413210445469,1.40991794505887
"08_1_17",1.07072987208427,1.32372093023256,1.68402366863905
"08_2_21",0.810967513900365,1.18990120746432,1.58173130449601
"08_2_22",0.744635787070843,0.939362075008763,1.16928446771379
"08_2_23",0.837021581032913,0.994265980565699,1.2675709001233
"08_2_24",1.00599215742666,1.19307182883342,1.43680981595092
"08_2_25",1.04321389339331,1.28057553956835,1.94005449591281
"08_2_26",1.18055671112248,1.39154055102833,1.80475346803569
"08_2_27",1.09073900841908,1.32049830124575,1.56720430107527
"08_2_28",1.18618042226488,1.43720930232558,1.81764705882353
"08_2_29",0.750017174901035,0.91127805001929,1.076947181101
"08_3_31",0.66529147913832,0.994991285538117,1.18956302823763
"08_3_32",1.10947860116364,1.43396959253027,1.58189687955329
"08_3_33",0.934307077041591,1.15794754192346,1.286874800892
"08_3_35",0.926211576524857,1.03995714929879,1.13821966656243
"08_4_41",0.84138421941656,0.946869488536155,1.08231835363293
"08_4_42",1.00558035714286,1.15846994535519,1.35285285285285
"08_4_43",0.854358984529511,0.985550541676186,1.15962626979573
"08_5_50",1.27127221666204,1.55965181771633,1.75663206459054
"08_5_51",1.2122641509434,1.39579090291921,1.56112376613516
"08_5_52",1.08736337692518,1.34526967285588,1.70096213964349
"08_5_53",1.09188361408882,1.34274952919021,1.67567567567568
"08_1_AA",0.991591928251121,1.14328185057124,1.319361575179
"08_2_AA",0.847227231492964,0.979724206498564,1.15034334151552
"08_3_AA",0.907022123186599,1.01996147228835,1.12735815357954
"08_4_AA",0.808846884677192,0.938130070488097,1.1502914542934
"08_5_AA",1.11568338452049,1.30377260981912,1.47343460910116
"08_A_AA",0.838778351309591,0.936751775706791,1.0442871276723
