"","STL+PCA Estimate (95% CI)"
"08_1_11","1.1 (0.88, 1.38)"
"08_1_12","1.23 (0.98, 1.56)"
"08_1_13","0.85 (0.65, 1.1)"
"08_1_15","0.9 (0.7, 1.16)"
"08_1_17","1.11 (0.92, 1.33)"
"08_2_21","0.49 (0.28, 0.87)"
"08_2_22","0.95 (0.75, 1.2)"
"08_2_23","1.1 (0.96, 1.25)"
"08_2_24","0.98 (0.84, 1.15)"
"08_2_25","0.91 (0.71, 1.16)"
"08_2_26","1.37 (1.15, 1.66)"
"08_2_27","1.24 (1.04, 1.48)"
"08_2_28","1.54 (1.25, 1.93)"
"08_2_29","0.75 (0.61, 0.93)"
"08_3_31","0.92 (0.81, 1.04)"
"08_3_32","1.11 (0.96, 1.28)"
"08_3_33","0.95 (0.78, 1.14)"
"08_3_35","1.01 (0.93, 1.11)"
"08_4_41","1.03 (0.95, 1.11)"
"08_4_42","0.97 (0.87, 1.1)"
"08_4_43","0.95 (0.86, 1.06)"
"08_5_50","1.21 (0.97, 1.5)"
"08_5_51","1.31 (0.92, 1.89)"
"08_5_52","1.23 (1.08, 1.4)"
"08_5_53","1.15 (1, 1.33)"
"08_1_AA","0.94 (0.8, 1.1)"
"08_2_AA","0.95 (0.8, 1.11)"
"08_3_AA","0.99 (0.91, 1.09)"
"08_4_AA","1.04 (0.97, 1.11)"
"08_5_AA","1.14 (0.97, 1.33)"
"08_A_AA","1.04 (0.96, 1.13)"
