"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"08_1_11",0.95,1.2,1.53,"1.15198237885463","1.37812911725955","1.60183767228178","N00_99","0.96","1.01","1.24","1.62","a10_b99_nopneumo","0.11","1.01","1.24","1.64","S00_T99","0.05","1.01","1.25","1.64"
"08_1_12",0.79,1.12,1.64,"1.12034383954155","1.34364261168385","1.59591836734694","I00_99","0.09","1.09","1.34","1.63","N00_99","0.08","1.06","1.33","1.59","pandemic","0.07","1.04","1.32","1.58"
"08_1_13",0.68,0.9,1.18,"0.84610883557636","1.07190511489993","1.39041807025986","I00_99","0.15","0.84","1.06","1.42","C00_D48","0.15","0.82","1.03","1.36","N00_99","0.09","0.83","1.03","1.33"
"08_1_15",0.83,1.04,1.29,"1.02808904898317","1.21413210445469","1.40991794505887","N00_99","0.99","0.79","1.2","1.48","S00_T99","0.07","0.85","1.23","1.47","N39","0.05","0.82","1.22","1.7"
"08_1_17",0.74,0.92,1.14,"1.07072987208427","1.32372093023256","1.68402366863905","pandemic","0.16","1.04","1.3","1.67","E00_99","0.12","1.05","1.3","1.64","N00_99","0.11","1.05","1.29","1.66"
"08_2_21",0.55,0.72,0.94,"0.810967513900365","1.18990120746432","1.58173130449601","N39","0.72","0.81","1.21","1.71","D50_89","0.55","0.71","1.09","1.77","C00_D48","0.15","0.67","1.04","1.58"
"08_2_22",0.8,1.01,1.3,"0.744635787070843","0.939362075008763","1.16928446771379","I00_99","0.63","0.73","0.91","1.13","I60_64","0.16","0.72","0.89","1.11","N00_99","0.12","0.72","0.9","1.1"
"08_2_23",0.79,0.98,1.23,"0.837021581032913","0.994265980565699","1.2675709001233","M00_99","0.8","0.97","1.16","1.32","E10_14","0.54","0.97","1.15","1.31","E00_99","0.46","0.93","1.1","1.35"
"08_2_24",0.68,0.86,1.08,"1.00599215742666","1.19307182883342","1.43680981595092","G00_99_SY","0.91","0.95","1.15","1.46","L00_99","0.74","0.99","1.21","1.57","a10_b99_nopneumo","0.12","0.99","1.2","1.57"
"08_2_25",0.88,1.14,1.44,"1.04321389339331","1.28057553956835","1.94005449591281","E00_99","0.92","1.07","1.51","2.06","I00_99","0.31","1.03","1.46","1.89","E10_14","0.1","1.05","1.48","1.9"
"08_2_26",1.21,1.42,1.67,"1.18055671112248","1.39154055102833","1.80475346803569","S00_T99","0.9","1.19","1.52","1.84","E00_99","0.19","1.11","1.38","1.69","I00_99","0.1","1.08","1.34","1.69"
"08_2_27",0.8,1.07,1.44,"1.09073900841908","1.32049830124575","1.56720430107527","a10_b99_nopneumo","0.37","1.06","1.31","1.59","E10_14","0.22","1.11","1.35","1.6","E00_99","0.11","1.13","1.37","1.63"
"08_2_28",0.98,1.35,1.88,"1.18618042226488","1.43720930232558","1.81764705882353","K00_99","0.21","1.18","1.42","1.89","I00_99","0.08","1.17","1.42","1.86","S00_T99","0.07","1.19","1.43","1.94"
"08_2_29",0.75,0.87,1.03,"0.750017174901035","0.91127805001929","1.076947181101","a10_b99_nopneumo","0.12","0.52","0.89","1.04","I00_99","0.1","0.51","0.88","1.02","N00_99","0.09","0.54","0.89","1.07"
"08_3_31",0.84,0.93,1.03,"0.66529147913832","0.994991285538117","1.18956302823763","A41","0.47","0.64","0.79","1.18","M00_99","0.29","0.76","0.97","1.19","N39","0.2","0.73","0.96","1.15"
"08_3_32",0.87,0.99,1.13,"1.10947860116364","1.43396959253027","1.58189687955329","a10_b99_nopneumo","0.89","0.99","1.36","1.61","A41","0.17","0.93","1.33","1.67","N39","0.06","0.9","1.16","1.7"
"08_3_33",0.89,1.01,1.15,"0.934307077041591","1.15794754192346","1.286874800892","N00_99","0.36","0.99","1.2","1.37","D50_89","0.15","0.97","1.2","1.34","N39","0.04","1.01","1.21","1.4"
"08_3_35",0.88,0.97,1.07,"0.926211576524857","1.03995714929879","1.13821966656243","A41","0.99","0.89","1.01","1.16","I00_99","0.24","0.9","1","1.13","E00_99","0.22","0.84","0.99","1.13"
