"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"08_1_11","1.38 (1.15, 1.6)","N00_99","0.96","1.24 (1.01, 1.62)","a10_b99_nopneumo","0.11","1.24 (1.01, 1.64)","S00_T99","0.05","1.25 (1.01, 1.64)"
"08_1_12","1.34 (1.12, 1.6)","I00_99","0.09","1.34 (1.09, 1.63)","N00_99","0.08","1.33 (1.06, 1.59)","pandemic","0.07","1.32 (1.04, 1.58)"
"08_1_13","1.07 (0.85, 1.39)","I00_99","0.15","1.06 (0.84, 1.42)","C00_D48","0.15","1.03 (0.82, 1.36)","N00_99","0.09","1.03 (0.83, 1.33)"
"08_1_15","1.21 (1.03, 1.41)","N00_99","0.99","1.2 (0.79, 1.48)","S00_T99","0.07","1.23 (0.85, 1.47)","N39","0.05","1.22 (0.82, 1.7)"
"08_1_17","1.32 (1.07, 1.68)","pandemic","0.16","1.3 (1.04, 1.67)","E00_99","0.12","1.3 (1.05, 1.64)","N00_99","0.11","1.29 (1.05, 1.66)"
"08_2_21","1.19 (0.81, 1.58)","N39","0.72","1.21 (0.81, 1.71)","D50_89","0.55","1.09 (0.71, 1.77)","C00_D48","0.15","1.04 (0.67, 1.58)"
"08_2_22","0.94 (0.74, 1.17)","I00_99","0.63","0.91 (0.73, 1.13)","I60_64","0.16","0.89 (0.72, 1.11)","N00_99","0.12","0.9 (0.72, 1.1)"
"08_2_23","0.99 (0.84, 1.27)","M00_99","0.8","1.16 (0.97, 1.32)","E10_14","0.54","1.15 (0.97, 1.31)","E00_99","0.46","1.1 (0.93, 1.35)"
"08_2_24","1.19 (1.01, 1.44)","G00_99_SY","0.91","1.15 (0.95, 1.46)","L00_99","0.74","1.21 (0.99, 1.57)","a10_b99_nopneumo","0.12","1.2 (0.99, 1.57)"
"08_2_25","1.28 (1.04, 1.94)","E00_99","0.92","1.51 (1.07, 2.06)","I00_99","0.31","1.46 (1.03, 1.89)","E10_14","0.1","1.48 (1.05, 1.9)"
"08_2_26","1.39 (1.18, 1.8)","S00_T99","0.9","1.52 (1.19, 1.84)","E00_99","0.19","1.38 (1.11, 1.69)","I00_99","0.1","1.34 (1.08, 1.69)"
"08_2_27","1.32 (1.09, 1.57)","a10_b99_nopneumo","0.37","1.31 (1.06, 1.59)","E10_14","0.22","1.35 (1.11, 1.6)","E00_99","0.11","1.37 (1.13, 1.63)"
"08_2_28","1.44 (1.19, 1.82)","K00_99","0.21","1.42 (1.18, 1.89)","I00_99","0.08","1.42 (1.17, 1.86)","S00_T99","0.07","1.43 (1.19, 1.94)"
"08_2_29","0.91 (0.75, 1.08)","a10_b99_nopneumo","0.12","0.89 (0.52, 1.04)","I00_99","0.1","0.88 (0.51, 1.02)","N00_99","0.09","0.89 (0.54, 1.07)"
"08_3_31","0.99 (0.67, 1.19)","A41","0.47","0.79 (0.64, 1.18)","M00_99","0.29","0.97 (0.76, 1.19)","N39","0.2","0.96 (0.73, 1.15)"
"08_3_32","1.43 (1.11, 1.58)","a10_b99_nopneumo","0.89","1.36 (0.99, 1.61)","A41","0.17","1.33 (0.93, 1.67)","N39","0.06","1.16 (0.9, 1.7)"
"08_3_33","1.16 (0.93, 1.29)","N00_99","0.36","1.2 (0.99, 1.37)","D50_89","0.15","1.2 (0.97, 1.34)","N39","0.04","1.21 (1.01, 1.4)"
"08_3_35","1.04 (0.93, 1.14)","A41","0.99","1.01 (0.89, 1.16)","I00_99","0.24","1 (0.9, 1.13)","E00_99","0.22","0.99 (0.84, 1.13)"
"08_4_41","0.95 (0.84, 1.08)","A41","0.98","1.03 (0.84, 1.19)","N00_99","0.62","1.03 (0.85, 1.18)","G00_99_SY","0.15","1.03 (0.85, 1.18)"
"08_4_42","1.16 (1.01, 1.35)","A41","0.86","1.09 (0.92, 1.28)","pandemic","0.19","1.09 (0.89, 1.27)","N39","0.19","1.08 (0.89, 1.28)"
"08_4_43","0.99 (0.85, 1.16)","A41","1","1.09 (0.85, 1.41)","N39","0.8","1.07 (0.84, 1.36)","E10_14","0.26","0.98 (0.77, 1.35)"
"08_5_50","1.56 (1.27, 1.76)","N39","0.24","1.58 (1.29, 1.77)","E00_99","0.23","1.6 (1.32, 1.78)","N00_99","0.08","1.6 (1.3, 1.77)"
"08_5_51","1.4 (1.21, 1.56)","S00_T99","0.07","1.4 (1.2, 1.59)","E00_99","0.06","1.4 (1.21, 1.6)","C00_D48","0.03","1.4 (1.21, 1.61)"
"08_5_52","1.35 (1.09, 1.7)","C00_D48","0.57","1.41 (1.08, 1.76)","G00_99_SY","0.55","1.43 (1.07, 1.74)","Z00_99","0.21","1.38 (1.08, 1.7)"
"08_5_53","1.34 (1.09, 1.68)","G00_99_SY","0.51","1.24 (1.06, 1.48)","I00_99","0.08","1.24 (1.06, 1.49)","C00_D48","0.07","1.23 (1.06, 1.44)"
"08_1_AA","1.14 (0.99, 1.32)","a10_b99_nopneumo","0.69","1.21 (1, 1.36)","N00_99","0.35","1.21 (0.95, 1.38)","N39","0.14","1.19 (0.96, 1.39)"
"08_2_AA","0.98 (0.85, 1.15)","I00_99","0.86","0.93 (0.78, 1.1)","a10_b99_nopneumo","0.65","0.94 (0.77, 1.16)","cj20_J22","0.23","0.92 (0.75, 1.12)"
"08_3_AA","1.02 (0.91, 1.13)","A41","1","0.9 (0.81, 1.14)","H00_99_SY","0.24","1.03 (0.85, 1.2)","N39","0.08","0.97 (0.83, 1.13)"
"08_4_AA","0.94 (0.81, 1.15)","A41","0.99","0.91 (0.77, 1.19)","S00_T99","0.53","1.05 (0.86, 1.25)","E10_14","0.26","0.99 (0.85, 1.19)"
"08_5_AA","1.3 (1.12, 1.47)","N39","0.85","1.29 (1.07, 1.62)","N00_99","0.16","1.38 (1.04, 1.67)","E00_99","0.05","1.41 (0.95, 1.68)"
"08_A_AA","0.94 (0.84, 1.04)","A41","1","0.99 (0.83, 1.15)","I00_99","0.63","0.97 (0.84, 1.13)","L00_99","0.35","0.98 (0.85, 1.17)"
