"","SC Estimate (95% CI)"
"08_1_11","1.38 (1.16, 1.6)"
"08_1_12","1.34 (1.1, 1.6)"
"08_1_13","1.09 (0.83, 1.37)"
"08_1_15","1.21 (1.01, 1.42)"
"08_1_17","1.17 (1, 1.38)"
"08_2_21","1.14 (0.79, 1.47)"
"08_2_22","0.92 (0.74, 1.12)"
"08_2_23","0.97 (0.83, 1.18)"
"08_2_24","1 (0.83, 1.2)"
"08_2_25","1.68 (1.07, 2.23)"
"08_2_26","1.45 (1.25, 1.87)"
"08_2_27","1.29 (1.06, 1.55)"
"08_2_28","1.45 (1.21, 1.9)"
"08_2_29","0.93 (0.78, 1.07)"
"08_3_31","0.86 (0.69, 1.1)"
"08_3_32","1.36 (1.04, 1.52)"
"08_3_33","1.12 (0.96, 1.27)"
"08_3_35","1.02 (0.93, 1.11)"
"08_4_41","0.92 (0.81, 1.07)"
"08_4_42","1.11 (0.95, 1.28)"
"08_4_43","1.1 (0.9, 1.25)"
"08_5_50","1.49 (1.25, 1.74)"
"08_5_51","1.39 (1.15, 1.55)"
"08_5_52","1.5 (1.19, 1.73)"
"08_5_53","1.23 (1.05, 1.45)"
"08_1_AA","1.14 (0.98, 1.3)"
"08_2_AA","1.04 (0.86, 1.18)"
"08_3_AA","1 (0.92, 1.09)"
"08_4_AA","0.89 (0.79, 1.07)"
"08_5_AA","1.3 (1.03, 1.49)"
"08_A_AA","0.99 (0.9, 1.11)"
