"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"08_1_11","1.15580110497238","1.38359788359788","1.59700761024348","N00_99","0.96","1.03","1.26","1.63","a10_b99_nopneumo","0.13","1.03","1.26","1.59","S00_T99","0.05","1.04","1.26","1.6"
"08_1_12","1.1045197740113","1.33904109589041","1.59591836734694","I00_99","0.09","1.06","1.34","1.63","N00_99","0.09","1.06","1.33","1.57","pandemic","0.08","1.04","1.31","1.57"
"08_1_13","0.834860935461474","1.09214501510574","1.36672967863894","I00_99","0.22","0.84","1.1","1.4","C00_D48","0.18","0.82","1.05","1.38","N00_99","0.07","0.82","1.06","1.42"
"08_1_15","1.00892253739449","1.21431866439698","1.417516302118","N00_99","0.94","0.77","1.18","1.46","E00_99","0.08","0.77","1.18","1.45","N39","0.06","0.79","1.18","1.46"
"08_1_17","1.00070323488045","1.16639344262295","1.38155339805825","E00_99","0.23","0.97","1.15","1.36","E10_14","0.22","0.97","1.15","1.35","I00_99","0.1","1","1.16","1.36"
"08_2_21","0.792590787228857","1.14426460239268","1.46618575293057","D50_89","0.87","0.68","1","1.44","I00_99","0.24","0.69","0.98","1.46","N39","0.19","0.66","0.94","1.35"
"08_2_22","0.7438194309034","0.924137931034483","1.12463281577843","I00_99","0.63","0.72","0.9","1.12","E10_14","0.07","0.72","0.9","1.12","D50_89","0.06","0.71","0.9","1.12"
"08_2_23","0.83219613738869","0.974275656647712","1.1806592520952","M00_99","0.97","0.97","1.18","1.34","E00_99","0.83","0.96","1.2","1.35","E10_14","0.15","0.96","1.19","1.57"
"08_2_24","0.829900517240557","0.997869620792501","1.20289167301422","I60_64","0.98","0.97","1.2","1.48","a10_b99_nopneumo","0.54","0.96","1.2","1.5","I00_99","0.04","0.9","1.16","1.4"
"08_2_25","1.07470684611716","1.67628016480283","2.23197492163009","E00_99","0.99","1.07","1.69","2.33","I00_99","0.84","0.99","1.59","1.99","E10_14","0.29","1.03","1.63","2.01"
"08_2_26","1.24752130805357","1.45006065507481","1.87160751565762","S00_T99","0.94","1.33","1.59","1.95","E00_99","0.2","1.2","1.47","1.74","I00_99","0.17","1.2","1.5","1.74"
"08_2_27","1.0552036199095","1.28555678059537","1.55466666666667","I60_64","0.32","1.05","1.31","1.59","E10_14","0.19","1.08","1.33","1.6","a10_b99_nopneumo","0.11","1.06","1.32","1.59"
"08_2_28","1.20703125","1.44730679156909","1.89570552147239","K00_99","0.24","1.19","1.44","2.07","C00_D48","0.1","1.19","1.43","1.94","E00_99","0.09","1.18","1.41","1.76"
"08_2_29","0.776762415880495","0.933507695402877","1.07060761054467","I00_99","0.57","0.66","0.89","1.05","I60_64","0.08","0.7","0.89","1.05","K00_99","0.06","0.66","0.89","1.05"
