"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","08_1_11",0.296,0,0.426,0.278
"2","08_1_12",0,1,0,0
"3","08_1_13",0,0,1,0
"4","08_1_15",0.111,0,0,0.889
"5","08_1_17",0,0.999,0.001,0
"6","08_2_21",0.308,0.173,0.519,0
"7","08_2_22",0.589,0,0.411,0
"8","08_2_23",0.942,0,0,0.058
"9","08_2_24",0.068,0,0.092,0.84
"10","08_2_25",0.782,0,0,0.218
"11","08_2_26",0.389,0.03,0.581,0
"12","08_2_27",0,0,0,1
"13","08_2_28",0,0,0.484,0.516
"14","08_2_29",0.341,0,0.659,0
"15","08_3_31",0.001,0,0,0.999
"16","08_3_32",0,0,0,1
"17","08_3_33",0.24,0,0,0.76
"18","08_3_35",0.596,0,0,0.404
"19","08_4_41",0.045,0.592,0.25,0.114
"20","08_4_42",0,0,0.168,0.832
"21","08_4_43",0.143,0.857,0,0
"22","08_5_50",0.027,0,0.137,0.836
"23","08_5_51",0.452,0,0,0.548
"24","08_5_52",0.125,0,0,0.875
"25","08_5_53",0.232,0,0,0.768
"26","08_1_AA",0,0,0,1
"27","08_2_AA",0.737,0,0,0.263
"28","08_3_AA",0.749,0,0,0.251
"29","08_4_AA",0.2,0.631,0,0.17
"30","08_5_AA",0.168,0,0,0.832
"31","08_A_AA",0,0,0,1
