"","Lower CI","Point Estimate","Upper CI"
"09_1_11",0.537212476653709,0.830775444264943,1.28644914374676
"09_1_12",0.451685368686975,0.564613526570048,0.693620178041543
"09_1_13",0.809846785204344,1.06439267886855,1.38344173731351
"09_1_14",1.210956666052,1.50048590864917,1.84688995215311
"09_1_15",0.623960789850328,0.73050222027644,0.877802787958249
"09_1_16",0.879182156133829,1.08673176335439,1.33804809052334
"09_1_17",0.285342773705097,0.419989369780293,0.603056724018491
"09_2_21",0.599408575549202,0.745735262362341,0.916290793313876
"09_2_22",0.391545098340284,0.571927781013395,0.808238771226283
"09_2_23",0.455222417110783,0.558137320255214,0.682543379527192
"09_2_24",0.555931032599265,0.647443890274314,0.750903832248735
"09_2_25",0.518476142883349,0.629382055852644,0.75865280542421
"09_2_26",0.478483845144471,0.638536792854105,0.864450260702923
"09_2_27",0.460240388442251,0.668130344349434,0.963839360429318
"09_2_28",0.355909496391209,0.656637168141593,1.16300940438871
"09_2_29",0.709589354802662,0.788208288027063,0.872368911589527
"09_3_31",0.595665372939323,0.666065098599423,0.746244945118429
"09_3_32",0.307390232939565,0.431015108003496,0.600141690905059
"09_3_33",0.516288090946905,0.621300486775772,0.746255860273566
"09_3_35",0.828965247608401,0.989803028895289,1.15972833631326
"09_4_41",0.916398477662913,1.07723608445298,1.28219245706549
"09_4_42",0.397214558293808,0.628810095085755,0.987747419838535
"09_4_43",0.813010077773965,0.897509433962264,0.989859607449175
"09_5_50",0.359310705296088,0.482070067258188,0.650201794035208
"09_5_51",0.676489346770699,0.793626117372717,0.923772902058358
"09_5_52",0.64709355402546,0.857685971359777,1.13557999959448
"09_5_53",0.5936533598336,0.83384030418251,1.15119621766029
"09_1_AA",0.790843958979415,0.906431777634337,1.04159703921665
"09_2_AA",0.645040507537445,0.722538831515207,0.82338763871063
"09_3_AA",0.724834215713095,0.860364136779514,1.0130882597437
"09_4_AA",0.901855350726941,0.993138110572727,1.10151153686602
"09_5_AA",0.711022720579263,0.849391166854269,1.03412304184359
"09_A_AA",0.756249288500601,0.840091101019275,0.922031801011853
