"","Time trend Estimate (95% CI)"
"09_1_11","0.77 (0.53, 1.13)"
"09_1_12","1.17 (0.76, 1.76)"
"09_1_13","1.19 (0.78, 1.74)"
"09_1_14","0.93 (0.59, 1.48)"
"09_1_15","0.85 (0.68, 1.04)"
"09_1_16","0.99 (0.68, 1.42)"
"09_1_17","0.39 (0.29, 0.53)"
"09_2_21","0.61 (0.44, 0.82)"
"09_2_22","0.6 (0.43, 0.82)"
"09_2_23","0.55 (0.42, 0.72)"
"09_2_24","0.56 (0.44, 0.72)"
"09_2_25","0.53 (0.41, 0.69)"
"09_2_26","0.48 (0.35, 0.66)"
"09_2_27","0.48 (0.37, 0.64)"
"09_2_28","0.39 (0.29, 0.53)"
"09_2_29","0.66 (0.58, 0.74)"
"09_3_31","0.66 (0.54, 0.83)"
"09_3_32","0.48 (0.37, 0.61)"
"09_3_33","0.52 (0.41, 0.66)"
"09_3_35","0.98 (0.79, 1.19)"
"09_4_41","0.94 (0.78, 1.11)"
"09_4_42","0.92 (0.76, 1.11)"
"09_4_43","1.02 (0.87, 1.18)"
"09_5_50","0.7 (0.53, 0.91)"
"09_5_51","0.77 (0.6, 0.99)"
"09_5_52","0.76 (0.53, 1.1)"
"09_5_53","0.75 (0.53, 1.04)"
"09_1_AA","0.87 (0.72, 1.04)"
"09_2_AA","0.58 (0.49, 0.68)"
"09_3_AA","0.75 (0.64, 0.91)"
"09_4_AA","0.96 (0.83, 1.09)"
"09_5_AA","0.78 (0.61, 0.98)"
"09_A_AA","0.74 (0.67, 0.83)"
