"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"09_1_11","0.8 (0.53, 1.16)","0.78 (0.56, 1.07)","cj20_J22","1","0.8 (0.49, 1.11)","ach_noj","0.98","0.89 (0.6, 1.14)","P00_99","0.94","0.89 (0.63, 1.16)"
"09_1_12","1.18 (0.77, 1.77)","0.59 (0.45, 0.84)","cj20_J22","0.72","0.57 (0.44, 0.74)","ach_noj","0.52","0.56 (0.43, 0.72)","P00_99","0.28","0.56 (0.43, 0.7)"
"09_1_13","1.18 (0.8, 1.74)","1.18 (0.82, 1.92)","a10_b99_nopneumo","0.61","1.04 (0.78, 1.43)","K00_99","0.29","1.12 (0.79, 1.41)","L00_99","0.24","1.09 (0.77, 1.4)"
"09_1_14","0.91 (0.58, 1.39)","1.22 (0.88, 1.69)","ach_noj","1","1.14 (0.74, 1.64)","P00_99","0.73","1.95 (1.39, 2.62)","P05_07","0.2","1.94 (1.36, 2.63)"
"09_1_15","0.82 (0.67, 1.02)","0.67 (0.6, 0.79)","cj20_J22","1","0.69 (0.62, 0.76)","E40_46","0.32","0.69 (0.62, 0.76)","A41","0.07","0.69 (0.62, 0.76)"
"09_1_16","1 (0.69, 1.43)","1.23 (0.97, 1.5)","a10_b99_nopneumo","0.33","1.2 (0.95, 1.47)","ach_noj","0.3","1.23 (0.95, 1.5)","P00_99","0.17","1.25 (1.02, 1.51)"
"09_1_17","0.4 (0.29, 0.54)","0.56 (0.37, 0.84)","P00_99","0.68","0.75 (0.62, 0.88)","ach_noj","0.14","0.75 (0.62, 0.88)","N00_99","0.05","0.76 (0.64, 0.88)"
"09_2_21","0.59 (0.42, 0.78)","0.76 (0.66, 1.18)","cj20_J22","1","0.8 (0.65, 0.95)","ach_noj","0.83","0.79 (0.65, 0.93)","K00_99","0.82","0.8 (0.67, 0.95)"
"09_2_22","0.59 (0.42, 0.8)","0.7 (0.45, 0.94)","cj20_J22","1","0.43 (0.36, 0.66)","P05_07","0.92","0.43 (0.36, 0.5)","P00_99","0.66","0.42 (0.36, 0.5)"
"09_2_23","0.55 (0.43, 0.7)","0.66 (0.57, 0.75)","cj20_J22","0.96","0.68 (0.58, 0.78)","P00_99","0.52","0.67 (0.56, 0.77)","N00_99","0.28","0.66 (0.56, 0.78)"
"09_2_24","0.56 (0.43, 0.72)","0.59 (0.51, 0.7)","ach_noj","0.41","0.58 (0.5, 0.68)","L00_99","0.18","0.58 (0.5, 0.67)","a10_b99_nopneumo","0.16","0.58 (0.5, 0.66)"
"09_2_25","0.53 (0.42, 0.68)","0.73 (0.52, 0.89)","cj20_J22","0.94","0.8 (0.7, 0.9)","E00_99","0.63","0.8 (0.69, 0.9)","P00_99","0.48","0.81 (0.72, 0.91)"
"09_2_26","0.48 (0.35, 0.66)","0.66 (0.54, 0.81)","cj20_J22","1","0.94 (0.67, 1.23)","P00_99","0.41","0.94 (0.52, 1.23)","P05_07","0.22","0.98 (0.67, 1.22)"
"09_2_27","0.49 (0.37, 0.67)","0.72 (0.58, 0.84)","P00_99","0.06","0.73 (0.59, 0.85)","P05_07","0.05","0.73 (0.58, 0.87)","E40_46","0.05","0.73 (0.6, 0.86)"
"09_2_28","0.39 (0.28, 0.52)","0.64 (0.46, 0.92)","cj20_J22","0.67","0.61 (0.47, 0.88)","P00_99","0.57","0.6 (0.46, 0.78)","ach_noj","0.53","0.61 (0.5, 0.78)"
"09_2_29","0.65 (0.58, 0.74)","0.56 (0.51, 0.63)","P00_99","1","0.68 (0.57, 0.76)","E00_99","0.26","0.65 (0.56, 0.75)","E40_46","0.17","0.66 (0.56, 0.76)"
"09_3_31","0.65 (0.53, 0.79)","0.53 (0.46, 0.65)","cj20_J22","1","0.65 (0.53, 0.77)","E00_99","0.73","0.6 (0.51, 0.79)","P00_99","0.51","0.57 (0.49, 0.66)"
"09_3_32","0.48 (0.36, 0.62)","0.46 (0.39, 0.53)","cj20_J22","1","0.66 (0.45, 0.87)","N00_99","0.17","0.64 (0.46, 0.85)","P00_99","0.07","0.77 (0.63, 0.89)"
"09_3_33","0.52 (0.41, 0.65)","0.74 (0.64, 0.84)","cj20_J22","1","0.68 (0.58, 0.8)","E00_99","0.98","0.69 (0.57, 0.82)","Z00_99","0.11","0.69 (0.58, 0.78)"
"09_3_35","0.95 (0.78, 1.15)","0.93 (0.83, 1.03)","cj20_J22","1","0.96 (0.78, 1.16)","E00_99","1","0.97 (0.81, 1.13)","D50_89","0.9","0.9 (0.66, 1.13)"
"09_4_41","0.91 (0.75, 1.1)","0.85 (0.65, 1.02)","cj20_J22","1","0.8 (0.72, 0.89)","P00_99","0.8","0.8 (0.72, 0.92)","a10_b99_nopneumo","0.72","0.8 (0.67, 0.94)"
"09_4_42","0.92 (0.76, 1.12)","0.7 (0.59, 0.84)","cj20_J22","1","0.76 (0.66, 0.97)","ach_noj","0.76","0.81 (0.68, 0.93)","E00_99","0.35","0.78 (0.68, 0.89)"
"09_4_43","1.01 (0.86, 1.19)","0.83 (0.75, 0.93)","cj20_J22","1","0.83 (0.74, 0.97)","E00_99","0.96","0.9 (0.78, 1.01)","a10_b99_nopneumo","0.17","0.92 (0.82, 1.02)"
"09_5_50","0.69 (0.52, 0.91)","0.77 (0.68, 0.89)","cj20_J22","1","0.78 (0.66, 0.93)","P00_99","0.86","0.9 (0.76, 1.04)","P05_07","0.24","0.9 (0.75, 1.04)"
"09_5_51","0.77 (0.6, 0.98)","0.72 (0.61, 0.8)","cj20_J22","1","0.67 (0.57, 0.76)","K00_99","0.73","0.65 (0.55, 0.77)","a10_b99_nopneumo","0.28","0.65 (0.56, 0.78)"
"09_5_52","0.8 (0.56, 1.08)","0.58 (0.5, 0.68)","cj20_J22","1","0.78 (0.57, 0.95)","ach_noj","0.9","0.79 (0.56, 1.01)","K00_99","0.12","0.78 (0.59, 0.95)"
"09_5_53","0.74 (0.51, 1.04)","0.44 (0.37, 0.58)","cj20_J22","1","0.59 (0.44, 0.86)","a10_b99_nopneumo","0.65","0.62 (0.48, 0.9)","A41","0.19","0.61 (0.48, 1)"
"09_1_AA","0.86 (0.73, 1.03)","0.9 (0.78, 1.01)","cj20_J22","1","0.86 (0.77, 0.96)","P00_99","0.81","0.85 (0.78, 0.92)","N39","0.31","0.85 (0.77, 0.94)"
"09_2_AA","0.58 (0.48, 0.7)","0.58 (0.53, 0.63)","A41","1","0.65 (0.57, 0.73)","cj20_J22","1","0.71 (0.65, 0.79)","K00_99","0.1","0.72 (0.65, 0.78)"
"09_3_AA","0.8 (0.68, 0.94)","0.78 (0.71, 0.91)","cj20_J22","1","0.8 (0.62, 0.96)","E00_99","0.93","0.86 (0.76, 1.03)","E40_46","0.64","0.8 (0.58, 0.99)"
"09_4_AA","0.96 (0.83, 1.11)","0.76 (0.68, 0.85)","cj20_J22","1","0.82 (0.73, 0.92)","E00_99","1","0.82 (0.73, 0.97)","I00_99","0.05","0.81 (0.74, 0.88)"
"09_5_AA","0.77 (0.58, 1)","0.67 (0.55, 0.77)","cj20_J22","1","0.79 (0.58, 0.95)","K00_99","0.74","0.76 (0.45, 0.94)","ach_noj","0.27","0.77 (0.57, 0.96)"
"09_A_AA","0.74 (0.65, 0.84)","0.75 (0.71, 0.8)","E40_46","1","0.78 (0.72, 0.91)","cj20_J22","1","0.79 (0.69, 0.93)","I00_99","0.06","0.77 (0.69, 0.87)"
