"","Lower CI","Point Estimate","Upper CI"
"92_1",0.68619189104477,0.837209302325581,1.01518438177874
"92_2",0.286726128016789,0.410593538692712,0.567202906071614
"92_3",0.632098765432099,0.808846761453397,1.03018108651911
"92_4",0.728566587597425,0.838860710105345,0.958965209634255
"92_5",0.538538040775733,0.628554846198491,0.722481654436291
"92_6",0.578491519307109,0.705235371755389,0.857219251336898
"92_7",0.502715452812511,0.606627296587926,0.713630971628849
"92_8",0.57640244395791,0.640769230769231,0.715535846942515
"92_9",0.413890020507558,0.529789184234647,0.717349655342295
"92_10",0.486855109705475,0.542750110180696,0.608148148148148
"92_11",0.423043852106621,0.519535374868004,0.632411092693869
"92_12",0.278008298755187,0.366120218579235,0.475177304964539
"92_13",0.463648973927851,0.538748627881449,0.630543053327659
"92_14",0.62890213960014,0.759745762711864,0.913409499024512
"92_15",0.550561797752809,0.7,0.891044900221727
