"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"92_1","1.57 (1.19, 2.08)","0.84 (0.68, 1.02)","N00_99","0.96","0.78 (0.64, 0.97)","A10_B99_nopneumo","0.92","0.78 (0.63, 0.95)","K00_99","0.91","0.81 (0.65, 1.01)"
"92_2","1.27 (0.98, 1.62)","0.41 (0.3, 0.57)","P00_99","1","0.48 (0.33, 0.73)","N00_99","1","0.59 (0.39, 0.79)","cJ20_J22","0.96","0.64 (0.48, 0.82)"
"92_3","1.38 (0.99, 1.9)","0.81 (0.63, 1.03)","cJ20_J22","0.81","0.8 (0.62, 1.03)","N00_99","0.36","0.76 (0.59, 0.95)","Q00_99","0.27","0.76 (0.59, 0.95)"
"92_4","0.95 (0.78, 1.18)","0.84 (0.71, 0.96)","cJ20_J22","0.14","0.84 (0.74, 0.96)","Q00_99","0.08","0.84 (0.73, 0.96)","A10_B99_nopneumo","0.05","0.84 (0.72, 0.96)"
"92_5","0.83 (0.67, 1.04)","0.63 (0.55, 0.72)","cJ20_J22","1","0.68 (0.57, 0.83)","N39","0.69","0.66 (0.56, 0.77)","pandemic","0.3","0.67 (0.57, 0.81)"
"92_6","0.88 (0.71, 1.08)","0.72 (0.6, 0.86)","cJ20_J22","1","0.73 (0.61, 0.85)","N39","0.58","0.72 (0.6, 0.85)","G00_99_SY","0.37","0.72 (0.61, 0.85)"
"92_7","0.79 (0.64, 0.99)","0.59 (0.48, 0.71)","E00_99","1","0.56 (0.44, 0.73)","cJ20_J22","1","0.62 (0.49, 0.78)","Z00_99","0.8","0.6 (0.49, 0.74)"
"92_8","0.81 (0.66, 1)","0.64 (0.57, 0.71)","cJ20_J22","1","0.59 (0.51, 0.71)","Z00_99","0.12","0.59 (0.5, 0.7)","P00_99","0.06","0.59 (0.51, 0.69)"
"92_9","0.83 (0.66, 1.04)","0.54 (0.41, 0.72)","cJ20_J22","1","0.34 (0.23, 0.51)","P05_07","0.46","0.34 (0.25, 0.45)","N00_99","0.09","0.34 (0.24, 0.53)"
"92_10","0.83 (0.7, 0.97)","0.54 (0.48, 0.61)","K00_99","0.98","0.56 (0.49, 0.64)","cJ20_J22","0.93","0.56 (0.49, 0.63)","A10_B99_nopneumo","0.38","0.55 (0.48, 0.62)"
"92_11","0.6 (0.42, 0.84)","0.52 (0.42, 0.63)","cJ20_J22","0.99","0.5 (0.41, 0.61)","pandemic","0.18","0.5 (0.4, 0.61)","P00_99","0.16","0.49 (0.4, 0.6)"
"92_12","1.52 (1.03, 2.31)","0.37 (0.28, 0.48)","Z00_99","0.34","0.35 (0.27, 0.45)","P00_99","0.32","0.36 (0.29, 0.45)","pandemic","0.18","0.36 (0.28, 0.45)"
"92_13","1.2 (0.98, 1.49)","0.55 (0.48, 0.65)","P00_99","1","0.63 (0.54, 0.73)","cJ20_J22","1","0.95 (0.79, 1.13)","Z00_99","0.16","0.93 (0.79, 1.08)"
"92_14","0.82 (0.65, 1.03)","0.76 (0.63, 0.91)","cJ20_J22","1","0.94 (0.78, 1.11)","Z00_99","0.98","0.87 (0.73, 1.03)","K00_99","0.32","0.86 (0.72, 1.04)"
"92_15","1.02 (0.71, 1.53)","0.7 (0.55, 0.89)","pandemic","0.84","0.71 (0.55, 0.91)","P00_99","0.67","0.73 (0.57, 0.92)","Q00_99","0.18","0.73 (0.57, 0.94)"
