"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"92_1","0.683211678832117","0.835714285714286","1.01739130434783","N00_99","0.96","0.64","0.78","0.97","A10_B99_nopneumo","0.92","0.63","0.78","0.95","K00_99","0.91","0.65","0.81","1.01"
"92_2","0.29920408483269","0.410131332082552","0.565742314026459","P00_99","1","0.33","0.48","0.73","N00_99","1","0.39","0.59","0.79","cJ20_J22","0.96","0.48","0.64","0.82"
"92_3","0.627450980392157","0.807570977917981","1.0281124497992","cJ20_J22","0.81","0.62","0.8","1.03","N00_99","0.36","0.59","0.76","0.95","Q00_99","0.27","0.59","0.76","0.95"
"92_4","0.707004274909569","0.836575875486381","0.955131052865393","cJ20_J22","0.14","0.74","0.84","0.96","Q00_99","0.08","0.73","0.84","0.96","A10_B99_nopneumo","0.05","0.72","0.84","0.96"
"92_5","0.546962794272865","0.632593457943925","0.723773245324578","cJ20_J22","1","0.57","0.68","0.83","N39","0.69","0.56","0.66","0.77","pandemic","0.3","0.57","0.67","0.81"
"92_6","0.595678274861826","0.715625","0.861827956989247","cJ20_J22","1","0.61","0.73","0.85","N39","0.58","0.6","0.72","0.85","G00_99_SY","0.37","0.61","0.72","0.85"
"92_7","0.478640444475351","0.594342655094825","0.706804281345566","E00_99","1","0.44","0.56","0.73","cJ20_J22","1","0.49","0.62","0.78","Z00_99","0.8","0.49","0.6","0.74"
"92_8","0.574680924456709","0.640358744394619","0.711765564883248","cJ20_J22","1","0.51","0.59","0.71","Z00_99","0.12","0.5","0.59","0.7","P00_99","0.06","0.51","0.59","0.69"
"92_9","0.413960424211237","0.536302482022733","0.7225","cJ20_J22","1","0.23","0.34","0.51","P05_07","0.46","0.25","0.34","0.45","N00_99","0.09","0.24","0.34","0.53"
"92_10","0.481713279874829","0.544068919814447","0.609657238888657","K00_99","0.98","0.49","0.56","0.64","cJ20_J22","0.93","0.49","0.56","0.63","A10_B99_nopneumo","0.38","0.48","0.55","0.62"
"92_11","0.424137931034483","0.523404255319149","0.634020618556701","cJ20_J22","0.99","0.41","0.5","0.61","pandemic","0.18","0.4","0.5","0.61","P00_99","0.16","0.4","0.49","0.6"
"92_12","0.276859504132231","0.369146005509642","0.476868327402135","Z00_99","0.34","0.27","0.35","0.45","P00_99","0.32","0.29","0.36","0.45","pandemic","0.18","0.28","0.36","0.45"
"92_13","0.475733007418022","0.551075403307303","0.646376315392908","P00_99","1","0.54","0.63","0.73","cJ20_J22","1","0.79","0.95","1.13","Z00_99","0.16","0.79","0.93","1.08"
"92_14","0.629343629343629","0.762978723404255","0.909702056726081","cJ20_J22","1","0.78","0.94","1.11","Z00_99","0.98","0.73","0.87","1.03","K00_99","0.32","0.72","0.86","1.04"
"92_15","0.554716981132075","0.7","0.890909090909091","pandemic","0.84","0.55","0.71","0.91","P00_99","0.67","0.57","0.73","0.92","Q00_99","0.18","0.57","0.73","0.94"
