"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","92_1",0,0,0.076,0.924
"2","92_2",0.238,0.762,0,0
"3","92_3",0.168,0,0,0.832
"4","92_4",1,0,0,0
"5","92_5",0.867,0,0,0.133
"6","92_6",0.143,0,0.841,0.016
"7","92_7",0.482,0,0.518,0
"8","92_8",0.944,0,0.015,0.041
"9","92_9",0.962,0.038,0,0
"10","92_10",0.277,0,0.496,0.227
"11","92_11",0.881,0.119,0,0
"12","92_12",0,0.585,0.056,0.359
"13","92_13",0.991,0,0.009,0
"14","92_14",0.702,0,0,0.298
"15","92_15",0,0.009,0.072,0.918
