"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"92_1",1.18,1.56,2.07,"0.687199478083378","0.837209302325581","1.01085383299206","N00_99","0.98","0.64","0.78","0.96","A10_B99_nopneumo","0.94","0.63","0.78","0.95","K00_99","0.9","0.64","0.8","0.99"
"92_2",0.99,1.27,1.62,"0.297008852376481","0.409056886227545","0.568678459937565","P00_99","1","0.32","0.46","0.71","cJ20_J22","0.99","0.38","0.58","0.78","N00_99","0.99","0.49","0.64","0.81"
"92_3",1,1.37,1.9,"0.632098765432099","0.806299212598425","1.03859232507132","cJ20_J22","0.8","0.63","0.82","1.05","N00_99","0.32","0.59","0.76","0.96","Q00_99","0.26","0.6","0.76","0.95"
"92_4",0.77,0.95,1.15,"0.710268334657829","0.83495145631068","0.956405693950178","cJ20_J22","0.14","0.74","0.85","0.97","Q00_99","0.06","0.73","0.84","0.97","A10_B99_nopneumo","0.06","0.73","0.84","0.96"
"92_5",0.66,0.84,1.05,"0.534900663422725","0.631241499902856","0.725551170774789","cJ20_J22","1","0.57","0.69","0.85","ach_noj","0.64","0.56","0.66","0.78","N39","0.64","0.56","0.66","0.77"
"92_6",0.71,0.88,1.07,"0.582273883036687","0.713078291814947","0.864150943396226","cJ20_J22","1","0.6","0.72","0.84","ach_noj","0.81","0.55","0.65","0.76","N39","0.45","0.55","0.65","0.77"
"92_7",0.63,0.79,0.99,"0.480131913721214","0.597801487229227","0.711160686802616","cJ20_J22","1","0.49","0.59","0.69","E00_99","1","0.49","0.61","0.76","Z00_99","0.87","0.49","0.61","0.75"
"92_8",0.66,0.81,0.99,"0.579140848564815","0.640687091398539","0.705942179820065","cJ20_J22","1","0.51","0.59","0.71","Z00_99","0.1","0.51","0.59","0.7","P00_99","0.06","0.52","0.6","0.7"
"92_9",0.65,0.82,1.02,"0.413740035829397","0.537924616100512","0.724543440652541","cJ20_J22","1","0.24","0.33","0.46","ach_noj","0.73","0.28","0.35","0.51","P05_07","0.48","0.26","0.34","0.45"
"92_10",0.69,0.82,0.98,"0.484361020891358","0.542511013215859","0.606355283732532","K00_99","0.97","0.5","0.56","0.64","cJ20_J22","0.95","0.5","0.56","0.64","A10_B99_nopneumo","0.35","0.48","0.55","0.62"
"92_11",0.42,0.59,0.83,"0.426343154246101","0.520634920634921","0.632390745501285","cJ20_J22","0.98","0.4","0.5","0.61","ach_noj","0.58","0.43","0.52","0.63","pandemic","0.22","0.42","0.52","0.63"
"92_12",1.05,1.52,2.27,"0.273455463651856","0.364130434782609","0.471830985915493","Z00_99","0.34","0.27","0.35","0.45","P00_99","0.34","0.28","0.36","0.45","ach_noj","0.33","0.31","0.38","0.47"
"92_13",1.01,1.23,1.49,"0.46658747985555","0.542927027208707","0.627301504397082","P00_99","1","0.57","0.68","0.78","cJ20_J22","1","0.79","0.94","1.1","Z00_99","0.14","0.8","0.95","1.12"
"92_14",0.65,0.82,1.03,"0.620415224913495","0.761197232345297","0.906929691451694","cJ20_J22","1","0.77","0.92","1.11","Z00_99","0.96","0.73","0.87","1.04","K00_99","0.34","0.71","0.86","1.03"
"92_15",0.72,1.04,1.56,"0.552631578947368","0.696682464454976","0.890909090909091","pandemic","0.85","0.55","0.71","0.91","P00_99","0.67","0.56","0.72","0.92","ach_noj","0.48","0.54","0.69","0.88"
