"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"92_1","0.84 (0.69, 1.01)","N00_99","0.98","0.78 (0.64, 0.96)","A10_B99_nopneumo","0.94","0.78 (0.63, 0.95)","K00_99","0.9","0.8 (0.64, 0.99)"
"92_2","0.41 (0.3, 0.57)","P00_99","1","0.46 (0.32, 0.71)","cJ20_J22","0.99","0.58 (0.38, 0.78)","N00_99","0.99","0.64 (0.49, 0.81)"
"92_3","0.81 (0.63, 1.04)","cJ20_J22","0.8","0.82 (0.63, 1.05)","N00_99","0.32","0.76 (0.59, 0.96)","Q00_99","0.26","0.76 (0.6, 0.95)"
"92_4","0.83 (0.71, 0.96)","cJ20_J22","0.14","0.85 (0.74, 0.97)","Q00_99","0.06","0.84 (0.73, 0.97)","A10_B99_nopneumo","0.06","0.84 (0.73, 0.96)"
"92_5","0.63 (0.53, 0.73)","cJ20_J22","1","0.69 (0.57, 0.85)","ach_noj","0.64","0.66 (0.56, 0.78)","N39","0.64","0.66 (0.56, 0.77)"
"92_6","0.71 (0.58, 0.86)","cJ20_J22","1","0.72 (0.6, 0.84)","ach_noj","0.81","0.65 (0.55, 0.76)","N39","0.45","0.65 (0.55, 0.77)"
"92_7","0.6 (0.48, 0.71)","cJ20_J22","1","0.59 (0.49, 0.69)","E00_99","1","0.61 (0.49, 0.76)","Z00_99","0.87","0.61 (0.49, 0.75)"
"92_8","0.64 (0.58, 0.71)","cJ20_J22","1","0.59 (0.51, 0.71)","Z00_99","0.1","0.59 (0.51, 0.7)","P00_99","0.06","0.6 (0.52, 0.7)"
"92_9","0.54 (0.41, 0.72)","cJ20_J22","1","0.33 (0.24, 0.46)","ach_noj","0.73","0.35 (0.28, 0.51)","P05_07","0.48","0.34 (0.26, 0.45)"
"92_10","0.54 (0.48, 0.61)","K00_99","0.97","0.56 (0.5, 0.64)","cJ20_J22","0.95","0.56 (0.5, 0.64)","A10_B99_nopneumo","0.35","0.55 (0.48, 0.62)"
"92_11","0.52 (0.43, 0.63)","cJ20_J22","0.98","0.5 (0.4, 0.61)","ach_noj","0.58","0.52 (0.43, 0.63)","pandemic","0.22","0.52 (0.42, 0.63)"
"92_12","0.36 (0.27, 0.47)","Z00_99","0.34","0.35 (0.27, 0.45)","P00_99","0.34","0.36 (0.28, 0.45)","ach_noj","0.33","0.38 (0.31, 0.47)"
"92_13","0.54 (0.47, 0.63)","P00_99","1","0.68 (0.57, 0.78)","cJ20_J22","1","0.94 (0.79, 1.1)","Z00_99","0.14","0.95 (0.8, 1.12)"
"92_14","0.76 (0.62, 0.91)","cJ20_J22","1","0.92 (0.77, 1.11)","Z00_99","0.96","0.87 (0.73, 1.04)","K00_99","0.34","0.86 (0.71, 1.03)"
"92_15","0.7 (0.55, 0.89)","pandemic","0.85","0.71 (0.55, 0.91)","P00_99","0.67","0.72 (0.56, 0.92)","ach_noj","0.48","0.69 (0.54, 0.88)"
