"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0",0.74,0.92,1.13,"0.726002109704641","0.891804340783933","1.08857255832345","cJ20_J22","1","0.93","1.18","1.45","P05_07","0.6","0.88","1.12","1.38","P00_99","0.44","0.91","1.14","1.4"
"1",0.96,1.13,1.34,"0.855358481139146","1.00440011733646","1.18478021185165","cJ20_J22","1","1.08","1.28","1.5","P00_99","0.63","1.21","1.42","1.64","E00_99","0.1","1.23","1.45","1.67"
"2",0.94,1.14,1.36,"0.895205196791678","1.04529868254828","1.19744881054112","cJ20_J22","1","0.99","1.22","1.48","S00_T99","1","0.98","1.24","1.52","E40_46","0.23","0.98","1.26","1.58"
"3",0.86,0.99,1.14,"0.868492364819852","1.0001717032967","1.16569941965179","cJ20_J22","1","0.96","1.15","1.36","S00_T99","0.99","0.94","1.12","1.33","G00_99_SY","0.6","0.98","1.16","1.35"
"4",0.77,0.88,1.01,"0.795523084670299","0.883981542518128","1.00100150064942","cJ20_J22","1","0.79","0.91","1.17","N00_99","1","0.79","0.92","1.15","C00_D48","0.07","0.79","0.91","1.1"
"5",0.62,0.75,0.9,"0.668033989327375","0.810530361260569","0.965659340659341","cJ20_J22","1","0.55","0.71","0.88","K35","0.22","0.55","0.71","0.88","K00_99","0.19","0.54","0.7","0.89"
"6",0.63,0.73,0.85,"0.736932095749878","0.851538244425628","0.974483204134367","cJ20_J22","1","0.62","0.76","0.89","D50_89","0.57","0.62","0.78","0.91","N39","0.52","0.61","0.75","0.89"
"7",0.75,0.85,0.97,"0.791199325411025","0.922792173453199","1.0598319172928","E00_99","0.87","0.8","0.94","1.12","cJ20_J22","0.84","0.76","0.87","1.02","E10_14","0.14","0.76","0.87","1.03"
"8",0.82,0.92,1.05,"0.870028461001905","0.997578692493947","1.14099409160523","cJ20_J22","0.62","0.86","0.98","1.14","N39","0.36","0.84","0.96","1.1","C00_D48","0.24","0.83","0.94","1.07"
"9",0.77,0.91,1.08,"0.739156797294992","0.846649029982363","0.967747625851078","cJ20_J22","1","0.91","1.1","1.33","P00_99","0.08","0.9","1.09","1.3","D50_89","0.05","0.89","1.08","1.31"
