"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","0.91 (0.73, 1.12)","0.9 (0.73, 1.09)","cJ20_J22","1","1.18 (0.95, 1.44)","P05_07","0.58","1.12 (0.9, 1.39)","P00_99","0.45","1.14 (0.91, 1.41)"
"1","1.16 (0.98, 1.36)","1 (0.86, 1.19)","cJ20_J22","1","1.28 (1.1, 1.49)","P00_99","0.65","1.41 (1.22, 1.63)","ach_noj","0.38","1.47 (1.22, 1.74)"
"2","1.14 (0.94, 1.36)","1.05 (0.9, 1.2)","cJ20_J22","1","1.21 (1, 1.47)","S00_T99","1","1.26 (1.01, 1.53)","E40_46","0.22","1.26 (1.02, 1.52)"
"3","0.99 (0.86, 1.14)","0.99 (0.86, 1.15)","cJ20_J22","1","1.16 (0.97, 1.37)","S00_T99","1","1.13 (0.95, 1.32)","G00_99_SY","0.65","1.17 (0.99, 1.36)"
"4","0.88 (0.77, 1.01)","0.89 (0.79, 1)","cJ20_J22","1","0.91 (0.8, 1.06)","N00_99","1","0.92 (0.79, 1.12)","C00_D48","0.06","0.91 (0.79, 1.07)"
"5","0.75 (0.63, 0.9)","0.81 (0.67, 0.98)","cJ20_J22","1","0.71 (0.56, 0.88)","ach_noj","0.48","0.69 (0.54, 0.87)","A10_B99_nopneumo","0.18","0.74 (0.58, 0.92)"
"6","0.74 (0.63, 0.85)","0.85 (0.74, 0.97)","cJ20_J22","1","0.77 (0.64, 0.89)","E00_99","0.47","0.77 (0.64, 0.89)","D50_89","0.46","0.79 (0.66, 0.92)"
"7","0.85 (0.75, 0.96)","0.93 (0.8, 1.06)","cJ20_J22","0.9","0.85 (0.75, 0.97)","E00_99","0.88","0.87 (0.76, 0.99)","E10_14","0.15","0.88 (0.77, 1.01)"
"8","0.93 (0.82, 1.05)","1 (0.88, 1.15)","ach_noj","0.98","1.06 (0.93, 1.21)","cJ20_J22","0.7","1.05 (0.92, 1.19)","N39","0.43","1 (0.89, 1.13)"
"9","0.92 (0.78, 1.08)","0.85 (0.74, 0.97)","cJ20_J22","1","1.1 (0.91, 1.32)","ach_noj","0.97","1.13 (0.93, 1.36)","D50_89","0.1","1.1 (0.9, 1.33)"
