"","Lower CI","Point Estimate","Upper CI"
"9_1",0.597345132743363,0.854430379746835,1.21621621621622
"9_10",0.82010582010582,1.25,1.86746987951807
"9_11",0.885996409335727,1.06933911159263,1.29188481675393
"9_12",0.566233766233766,0.694267515923567,0.861660079051383
"9_13",0.478944050497789,0.850622406639004,1.34868421052632
"9_14",1.02924634420697,1.24659400544959,1.51741293532338
"9_15",0.664083737202086,0.803904923599321,1
"9_16",0.674185463659148,0.864951768488746,1.09807167949147
"9_17",0.443298969072165,0.577181208053691,0.761061946902655
"9_19",0.527045769764216,0.783505154639175,1.1046511627907
"9_2",0.719376391982183,1.009375,1.3982683982684
"9_20",0.861538461538462,1.02887139107612,1.24050632911392
"9_21",0.673003802281369,0.857142857142857,1.07272727272727
"9_22",0.503981652416116,0.76219512195122,1.13636363636364
"9_23",0.465968586387435,0.689922480620155,1.02298850574713
"9_24",0.570422273699846,0.734513274336283,0.940509915014164
"9_25",0.534939759036145,0.69811320754717,0.928870292887029
"9_26",0.597864768683274,0.778979907264297,1.07006369426752
"9_27",0.819047619047619,1.00879765395894,1.2463768115942
"9_28",0.53356890459364,0.677130044843049,0.923547400611621
"9_29",0.626373626373626,0.95,1.425
"9_30",0.665922098748701,0.815104166666667,1.04342056856187
"9_31",0.537593984962406,0.89375,1.375
"9_32",0.469404906117505,0.65564738292011,0.89811320754717
"9_4",0.607758620689655,0.854545454545454,1.175
"9_5",0.754010695187166,1.04832713754647,1.44615384615385
"9_7",0.753826530612245,0.9234375,1.13218390804598
"9_8",1.31914893617021,1.625,1.98522167487685
"9_9",0.817518248175182,0.981380065717415,1.17281329554734
