"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"9_1","0.85 (0.6, 1.22)","cJ20_J22","1","0.87 (0.53, 1.36)","P05_07","0.42","0.84 (0.53, 1.34)","pandemic","0.2","0.83 (0.52, 1.3)"
"9_10","1.25 (0.82, 1.87)","cJ20_J22","0.95","1.07 (0.69, 1.68)","ach_noj","0.93","0.94 (0.64, 1.37)","P00_99","0.75","0.95 (0.67, 1.37)"
"9_11","1.07 (0.89, 1.29)","cJ20_J22","1","1.18 (0.91, 1.5)","ach_noj","0.88","1.18 (0.92, 1.53)","P00_99","0.2","1.17 (0.91, 1.51)"
"9_12","0.69 (0.57, 0.86)","cJ20_J22","1","0.58 (0.43, 0.77)","P05_07","0.1","0.58 (0.44, 0.76)","Q00_99","0.07","0.58 (0.43, 0.77)"
"9_13","0.85 (0.48, 1.35)","ach_noj","0.63","0.93 (0.53, 1.39)","Q00_99","0.56","0.91 (0.51, 1.39)","P00_99","0.47","0.91 (0.49, 1.4)"
"9_14","1.25 (1.03, 1.52)","cJ20_J22","1","1.21 (0.94, 1.55)","ach_noj","0.86","1.16 (0.9, 1.5)","P00_99","0.45","1.17 (0.9, 1.52)"
"9_15","0.8 (0.66, 1)","cJ20_J22","1","0.72 (0.54, 0.98)","A10_B99_nopneumo","0.9","0.83 (0.61, 1.12)","ach_noj","0.39","0.75 (0.57, 0.98)"
"9_16","0.86 (0.67, 1.1)","cJ20_J22","1","0.83 (0.57, 1.2)","P05_07","0.54","0.86 (0.61, 1.22)","P00_99","0.14","0.91 (0.65, 1.26)"
"9_17","0.58 (0.44, 0.76)","cJ20_J22","1","0.51 (0.34, 0.77)","ach_noj","0.15","0.48 (0.33, 0.67)","Q00_99","0.1","0.48 (0.33, 0.68)"
"9_19","0.78 (0.53, 1.1)","cJ20_J22","1","1.01 (0.63, 1.53)","P00_99","0.87","0.9 (0.59, 1.31)","P05_07","0.71","0.83 (0.56, 1.23)"
"9_2","1.01 (0.72, 1.4)","Q00_99","0.41","1.03 (0.74, 1.4)","pandemic","0.2","1.02 (0.73, 1.4)","ach_noj","0.19","1.02 (0.73, 1.42)"
"9_20","1.03 (0.86, 1.24)","cJ20_J22","1","0.68 (0.48, 0.96)","pandemic","0.08","0.7 (0.49, 0.99)","P00_99","0.06","0.74 (0.54, 1.04)"
