"","SC Estimate (95% CI)"
"9_1","0.86 (0.59, 1.24)"
"9_10","1.25 (0.86, 1.82)"
"9_11","1.07 (0.88, 1.3)"
"9_12","0.7 (0.57, 0.87)"
"9_13","0.86 (0.48, 1.39)"
"9_14","1.24 (1.02, 1.51)"
"9_15","0.79 (0.66, 0.99)"
"9_16","0.88 (0.68, 1.11)"
"9_17","0.58 (0.45, 0.76)"
"9_19","0.79 (0.54, 1.12)"
"9_2","1 (0.72, 1.39)"
"9_20","1.03 (0.86, 1.23)"
"9_21","0.86 (0.68, 1.07)"
"9_22","0.76 (0.49, 1.15)"
"9_23","0.69 (0.47, 1.02)"
"9_24","0.73 (0.56, 0.93)"
"9_25","0.7 (0.53, 0.92)"
"9_26","0.78 (0.6, 1.05)"
"9_27","1.01 (0.82, 1.24)"
"9_28","0.68 (0.53, 0.91)"
"9_29","0.96 (0.64, 1.44)"
"9_30","0.81 (0.66, 1.04)"
"9_31","0.89 (0.54, 1.34)"
"9_32","0.66 (0.47, 0.91)"
"9_4","0.85 (0.61, 1.17)"
"9_5","1.05 (0.76, 1.48)"
"9_7","0.92 (0.75, 1.13)"
"9_8","1.62 (1.33, 1.98)"
"9_9","0.98 (0.82, 1.18)"
