"","STL+PCA Estimate (95% CI)"
"9_1","0.82 (0.52, 1.27)"
"9_10","1.31 (0.87, 1.99)"
"9_11","1.13 (0.86, 1.46)"
"9_12","0.54 (0.39, 0.74)"
"9_13","0.91 (0.59, 1.38)"
"9_14","1.19 (0.93, 1.51)"
"9_15","0.66 (0.49, 0.86)"
"9_16","0.77 (0.57, 1.05)"
"9_17","0.51 (0.36, 0.72)"
"9_19","1.62 (1.02, 2.59)"
"9_2","1 (0.67, 1.45)"
"9_20","0.71 (0.52, 0.96)"
"9_21","0.57 (0.43, 0.75)"
"9_22","0.85 (0.62, 1.2)"
"9_23","0.72 (0.49, 1.07)"
"9_24","0.81 (0.6, 1.08)"
"9_25","0.73 (0.52, 1.01)"
"9_26","1.17 (0.74, 1.85)"
"9_27","0.73 (0.57, 0.93)"
"9_28","0.83 (0.61, 1.12)"
"9_29","0.97 (0.61, 1.53)"
"9_30","0.7 (0.54, 0.93)"
"9_31","0.87 (0.57, 1.35)"
"9_32","0.64 (0.44, 0.92)"
"9_4","0.8 (0.55, 1.18)"
"9_5","0.84 (0.58, 1.24)"
"9_7","0.62 (0.46, 0.82)"
"9_8","1.58 (1.22, 2.02)"
"9_9","0.97 (0.78, 1.21)"
