"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"9_1",0.51,0.87,1.45,"0.592105263157895","0.859872611464968","1.23853211009174","cJ20_J22","1","0.54","0.87","1.35","P05_07","0.52","0.53","0.85","1.32","pandemic","0.16","0.53","0.84","1.31"
"9_10",0.86,1.31,2.07,"0.856353591160221","1.25","1.82352941176471","cJ20_J22","0.96","0.69","1.03","1.57","ach_noj","0.95","0.64","0.92","1.35","P00_99","0.68","0.67","0.95","1.36"
"9_11",1,1.36,1.84,"0.884408602150538","1.06702702702703","1.300395256917","cJ20_J22","1","0.92","1.18","1.52","ach_noj","0.88","0.92","1.18","1.51","P00_99","0.2","0.91","1.18","1.5"
"9_12",0.4,0.57,0.82,"0.570680628272251","0.696485623003195","0.872","cJ20_J22","1","0.44","0.58","0.77","P05_07","0.1","0.43","0.58","0.77","Q00_99","0.07","0.43","0.57","0.76"
"9_13",0.59,0.95,1.56,"0.475610525693907","0.861344537815126","1.39479661727704","ach_noj","0.57","0.5","0.9","1.38","Q00_99","0.49","0.51","0.9","1.4","P00_99","0.46","0.53","0.92","1.42"
"9_14",0.96,1.28,1.7,"1.02234636871508","1.24489795918367","1.51239669421488","cJ20_J22","1","0.95","1.21","1.54","ach_noj","0.85","0.9","1.16","1.48","P00_99","0.46","0.91","1.16","1.5"
"9_15",0.61,0.85,1.18,"0.659918824551357","0.792800473777535","0.989550679205852","cJ20_J22","1","0.54","0.71","0.97","A10_B99_nopneumo","0.88","0.61","0.82","1.09","G00_99_SY","0.34","0.6","0.82","1.09"
"9_16",0.61,0.85,1.21,"0.682741116751269","0.876221498371335","1.10699588477366","cJ20_J22","1","0.58","0.84","1.22","P05_07","0.49","0.63","0.89","1.23","P00_99","0.14","0.64","0.9","1.25"
"9_17",0.35,0.52,0.82,"0.44559585492228","0.577181208053691","0.761061946902655","cJ20_J22","1","0.35","0.51","0.77","ach_noj","0.14","0.33","0.48","0.67","Q00_99","0.11","0.33","0.48","0.68"
"9_19",0.95,1.4,2.08,"0.535211267605634","0.79002079002079","1.12426035502959","cJ20_J22","1","0.63","0.98","1.48","P00_99","0.86","0.6","0.93","1.38","P05_07","0.76","0.56","0.84","1.24"
"9_2",0.75,1.16,1.77,"0.716186252771619","1.00310559006211","1.3862660944206","Q00_99","0.43","0.73","1.02","1.39","pandemic","0.19","0.73","1.02","1.41","ach_noj","0.18","0.74","1.02","1.4"
"9_20",0.53,0.76,1.08,"0.85589519650655","1.0261780104712","1.225","cJ20_J22","1","0.48","0.67","0.94","pandemic","0.08","0.5","0.7","1.01","ach_noj","0.06","0.48","0.68","0.98"
"9_21",0.46,0.65,0.92,"0.678128502670271","0.857142857142857","1.06948640483384","cJ20_J22","1","0.42","0.57","0.78","P00_99","0.15","0.46","0.62","0.82","ach_noj","0.13","0.49","0.67","0.9"
"9_22",0.74,1.1,1.67,"0.494071146245059","0.757575757575758","1.14678899082569","P00_99","0.82","0.43","0.64","0.96","ach_noj","0.73","0.44","0.62","0.88","P05_07","0.21","0.47","0.66","0.93"
"9_23",0.48,0.82,1.39,"0.470899470899471","0.689922480620155","1.02298850574713","ach_noj","0.43","0.47","0.7","1.03","pandemic","0.43","0.48","0.71","1.03","P00_99","0.4","0.47","0.68","1.01"
"9_24",0.66,0.93,1.31,"0.559865092748735","0.726477024070022","0.932649944611488","cJ20_J22","1","0.64","0.84","1.13","P05_07","0.89","0.64","0.83","1.07","ach_noj","0.16","0.63","0.83","1.08"
"9_25",0.56,0.84,1.24,"0.529832935560859","0.700315457413249","0.925","cJ20_J22","1","0.59","0.84","1.16","Q00_99","0.24","0.59","0.83","1.15","ach_noj","0.15","0.58","0.84","1.17"
"9_26",0.49,0.74,1.1,"0.599982164090369","0.777777777777778","1.04781704781705","cJ20_J22","1","0.63","0.87","1.29","ach_noj","0.12","0.63","0.87","1.29","P00_99","0.1","0.62","0.84","1.15"
"9_27",0.47,0.66,0.93,"0.817053731242472","1.00584795321637","1.23741007194245","cJ20_J22","1","0.51","0.67","0.87","P05_07","0.89","0.49","0.65","0.85","P00_99","0.52","0.53","0.69","0.9"
"9_28",0.6,0.87,1.24,"0.53356890459364","0.675615212527964","0.91238670694864","cJ20_J22","1","0.52","0.76","1.12","P00_99","0.37","0.5","0.67","0.9","ach_noj","0.08","0.49","0.67","0.89"
"9_29",0.65,1.09,1.82,"0.640449438202247","0.960674157303371","1.43697478991597","cJ20_J22","1","0.55","0.84","1.26","ach_noj","0.74","0.57","0.84","1.28","P00_99","0.25","0.56","0.83","1.24"
"9_30",0.59,0.83,1.19,"0.657563025210084","0.810880829015544","1.0364238410596","cJ20_J22","1","0.55","0.73","0.95","P00_99","0.24","0.56","0.72","0.94","K00_99","0.19","0.56","0.72","0.95"
"9_31",0.57,0.96,1.59,"0.539571925095758","0.89375","1.33644859813084","pandemic","0.68","0.57","0.92","1.42","ach_noj","0.22","0.6","0.93","1.39","P00_99","0.21","0.63","0.93","1.4"
"9_32",0.41,0.73,1.28,"0.468503937007874","0.657458563535912","0.911877394636015","cJ20_J22","1","0.47","0.75","1.11","Q00_99","0.14","0.48","0.74","1.1","P00_99","0.12","0.47","0.74","1.09"
"9_4",0.58,0.92,1.5,"0.607758620689655","0.854545454545454","1.16553202479338","cJ20_J22","1","0.53","0.8","1.18","P00_99","0.52","0.54","0.81","1.21","P05_07","0.42","0.56","0.82","1.21"
"9_5",0.56,0.88,1.36,"0.762162162162162","1.05223880597015","1.47643979057592","cJ20_J22","0.99","0.67","1","1.43","pandemic","0.13","0.68","1","1.42","P00_99","0.09","0.68","1","1.42"
