"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"9_1","0.87 (0.51, 1.45)","0.86 (0.59, 1.24)","cJ20_J22","1","0.87 (0.54, 1.35)","P05_07","0.52","0.85 (0.53, 1.32)","pandemic","0.16","0.84 (0.53, 1.31)"
"9_10","1.31 (0.86, 2.07)","1.25 (0.86, 1.82)","cJ20_J22","0.96","1.03 (0.69, 1.57)","ach_noj","0.95","0.92 (0.64, 1.35)","P00_99","0.68","0.95 (0.67, 1.36)"
"9_11","1.36 (1, 1.84)","1.07 (0.88, 1.3)","cJ20_J22","1","1.18 (0.92, 1.52)","ach_noj","0.88","1.18 (0.92, 1.51)","P00_99","0.2","1.18 (0.91, 1.5)"
"9_12","0.57 (0.4, 0.82)","0.7 (0.57, 0.87)","cJ20_J22","1","0.58 (0.44, 0.77)","P05_07","0.1","0.58 (0.43, 0.77)","Q00_99","0.07","0.57 (0.43, 0.76)"
"9_13","0.95 (0.59, 1.56)","0.86 (0.48, 1.39)","ach_noj","0.57","0.9 (0.5, 1.38)","Q00_99","0.49","0.9 (0.51, 1.4)","P00_99","0.46","0.92 (0.53, 1.42)"
"9_14","1.28 (0.96, 1.7)","1.24 (1.02, 1.51)","cJ20_J22","1","1.21 (0.95, 1.54)","ach_noj","0.85","1.16 (0.9, 1.48)","P00_99","0.46","1.16 (0.91, 1.5)"
"9_15","0.85 (0.61, 1.18)","0.79 (0.66, 0.99)","cJ20_J22","1","0.71 (0.54, 0.97)","A10_B99_nopneumo","0.88","0.82 (0.61, 1.09)","G00_99_SY","0.34","0.82 (0.6, 1.09)"
"9_16","0.85 (0.61, 1.21)","0.88 (0.68, 1.11)","cJ20_J22","1","0.84 (0.58, 1.22)","P05_07","0.49","0.89 (0.63, 1.23)","P00_99","0.14","0.9 (0.64, 1.25)"
"9_17","0.52 (0.35, 0.82)","0.58 (0.45, 0.76)","cJ20_J22","1","0.51 (0.35, 0.77)","ach_noj","0.14","0.48 (0.33, 0.67)","Q00_99","0.11","0.48 (0.33, 0.68)"
"9_19","1.4 (0.95, 2.08)","0.79 (0.54, 1.12)","cJ20_J22","1","0.98 (0.63, 1.48)","P00_99","0.86","0.93 (0.6, 1.38)","P05_07","0.76","0.84 (0.56, 1.24)"
"9_2","1.16 (0.75, 1.77)","1 (0.72, 1.39)","Q00_99","0.43","1.02 (0.73, 1.39)","pandemic","0.19","1.02 (0.73, 1.41)","ach_noj","0.18","1.02 (0.74, 1.4)"
"9_20","0.76 (0.53, 1.08)","1.03 (0.86, 1.23)","cJ20_J22","1","0.67 (0.48, 0.94)","pandemic","0.08","0.7 (0.5, 1.01)","ach_noj","0.06","0.68 (0.48, 0.98)"
"9_21","0.65 (0.46, 0.92)","0.86 (0.68, 1.07)","cJ20_J22","1","0.57 (0.42, 0.78)","P00_99","0.15","0.62 (0.46, 0.82)","ach_noj","0.13","0.67 (0.49, 0.9)"
"9_22","1.1 (0.74, 1.67)","0.76 (0.49, 1.15)","P00_99","0.82","0.64 (0.43, 0.96)","ach_noj","0.73","0.62 (0.44, 0.88)","P05_07","0.21","0.66 (0.47, 0.93)"
"9_23","0.82 (0.48, 1.39)","0.69 (0.47, 1.02)","ach_noj","0.43","0.7 (0.47, 1.03)","pandemic","0.43","0.71 (0.48, 1.03)","P00_99","0.4","0.68 (0.47, 1.01)"
"9_24","0.93 (0.66, 1.31)","0.73 (0.56, 0.93)","cJ20_J22","1","0.84 (0.64, 1.13)","P05_07","0.89","0.83 (0.64, 1.07)","ach_noj","0.16","0.83 (0.63, 1.08)"
"9_25","0.84 (0.56, 1.24)","0.7 (0.53, 0.92)","cJ20_J22","1","0.84 (0.59, 1.16)","Q00_99","0.24","0.83 (0.59, 1.15)","ach_noj","0.15","0.84 (0.58, 1.17)"
"9_26","0.74 (0.49, 1.1)","0.78 (0.6, 1.05)","cJ20_J22","1","0.87 (0.63, 1.29)","ach_noj","0.12","0.87 (0.63, 1.29)","P00_99","0.1","0.84 (0.62, 1.15)"
"9_27","0.66 (0.47, 0.93)","1.01 (0.82, 1.24)","cJ20_J22","1","0.67 (0.51, 0.87)","P05_07","0.89","0.65 (0.49, 0.85)","P00_99","0.52","0.69 (0.53, 0.9)"
"9_28","0.87 (0.6, 1.24)","0.68 (0.53, 0.91)","cJ20_J22","1","0.76 (0.52, 1.12)","P00_99","0.37","0.67 (0.5, 0.9)","ach_noj","0.08","0.67 (0.49, 0.89)"
"9_29","1.09 (0.65, 1.82)","0.96 (0.64, 1.44)","cJ20_J22","1","0.84 (0.55, 1.26)","ach_noj","0.74","0.84 (0.57, 1.28)","P00_99","0.25","0.83 (0.56, 1.24)"
"9_30","0.83 (0.59, 1.19)","0.81 (0.66, 1.04)","cJ20_J22","1","0.73 (0.55, 0.95)","P00_99","0.24","0.72 (0.56, 0.94)","K00_99","0.19","0.72 (0.56, 0.95)"
"9_31","0.96 (0.57, 1.59)","0.89 (0.54, 1.34)","pandemic","0.68","0.92 (0.57, 1.42)","ach_noj","0.22","0.93 (0.6, 1.39)","P00_99","0.21","0.93 (0.63, 1.4)"
"9_32","0.73 (0.41, 1.28)","0.66 (0.47, 0.91)","cJ20_J22","1","0.75 (0.47, 1.11)","Q00_99","0.14","0.74 (0.48, 1.1)","P00_99","0.12","0.74 (0.47, 1.09)"
"9_4","0.92 (0.58, 1.5)","0.85 (0.61, 1.17)","cJ20_J22","1","0.8 (0.53, 1.18)","P00_99","0.52","0.81 (0.54, 1.21)","P05_07","0.42","0.82 (0.56, 1.21)"
"9_5","0.88 (0.56, 1.36)","1.05 (0.76, 1.48)","cJ20_J22","0.99","1 (0.67, 1.43)","pandemic","0.13","1 (0.68, 1.42)","P00_99","0.09","1 (0.68, 1.42)"
"9_7","0.96 (0.74, 1.25)","0.92 (0.75, 1.13)","cJ20_J22","1","0.9 (0.7, 1.17)","P00_99","0.35","0.88 (0.7, 1.12)","ach_noj","0.33","1.15 (0.85, 1.57)"
"9_8","2.26 (1.61, 3.15)","1.62 (1.33, 1.98)","cJ20_J22","1","1.71 (1.31, 2.21)","pandemic","0.19","1.72 (1.32, 2.21)","K00_99","0.1","1.62 (1.25, 2.12)"
"9_9","0.97 (0.72, 1.3)","0.98 (0.82, 1.18)","cJ20_J22","1","1.06 (0.81, 1.41)","A10_B99_nopneumo","0.95","1.11 (0.83, 1.53)","Z00_99","0.52","1.15 (0.83, 1.54)"
