"","Time trend Estimate (95% CI)"
"9_1","0.87 (0.51, 1.45)"
"9_10","1.31 (0.86, 2.07)"
"9_11","1.36 (1, 1.84)"
"9_12","0.57 (0.4, 0.82)"
"9_13","0.95 (0.59, 1.56)"
"9_14","1.28 (0.96, 1.7)"
"9_15","0.85 (0.61, 1.18)"
"9_16","0.85 (0.61, 1.21)"
"9_17","0.52 (0.35, 0.82)"
"9_19","1.4 (0.95, 2.08)"
"9_2","1.16 (0.75, 1.77)"
"9_20","0.76 (0.53, 1.08)"
"9_21","0.65 (0.46, 0.92)"
"9_22","1.1 (0.74, 1.67)"
"9_23","0.82 (0.48, 1.39)"
"9_24","0.93 (0.66, 1.31)"
"9_25","0.84 (0.56, 1.24)"
"9_26","0.74 (0.49, 1.1)"
"9_27","0.66 (0.47, 0.93)"
"9_28","0.87 (0.6, 1.24)"
"9_29","1.09 (0.65, 1.82)"
"9_30","0.83 (0.59, 1.19)"
"9_31","0.96 (0.57, 1.59)"
"9_32","0.73 (0.41, 1.28)"
"9_4","0.92 (0.58, 1.5)"
"9_5","0.88 (0.56, 1.36)"
"9_7","0.96 (0.74, 1.25)"
"9_8","2.26 (1.61, 3.15)"
"9_9","0.97 (0.72, 1.3)"
