"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","9_1",1,0,0,0
"2","9_10",0.47,0,0.169,0.361
"3","9_11",0.976,0,0.024,0
"4","9_12",1,0,0,0
"5","9_13",0.307,0.627,0.066,0
"6","9_14",0.821,0.179,0,0
"7","9_15",0.985,0,0.015,0
"8","9_16",0.991,0,0.009,0
"9","9_17",0.934,0.066,0,0
"10","9_19",0.612,0.223,0.04,0.124
"11","9_2",0.25,0.524,0.225,0
"12","9_20",1,0,0,0
"13","9_21",0.957,0,0.043,0
"14","9_22",0,0,0.973,0.027
"15","9_23",0,0.761,0,0.239
"16","9_24",0.925,0,0.075,0
"17","9_25",0.844,0,0,0.156
"18","9_26",0.884,0.116,0,0
"19","9_27",1,0,0,0
"20","9_28",0.907,0,0,0.092
"21","9_29",0.708,0,0,0.292
"22","9_30",0.984,0.016,0,0
"23","9_31",0.56,0,0.44,0
"24","9_32",0.828,0.012,0,0.16
"25","9_4",0.908,0,0.092,0
"26","9_5",0.869,0.13,0.001,0
"27","9_7",0.88,0,0,0.12
"28","9_8",0.859,0,0.138,0.003
"29","9_9",0.9,0,0,0.1
