"","Lower CI","Point Estimate","Upper CI"
"ac_pneumonia_Age1",0.771055564747359,0.9296,1.134765625
"ac_pneumonia_Age1_0",0.763391698289611,0.952779778543785,1.16180758017493
"ac_pneumonia_Age1_1",0.751028806584362,0.931122448979592,1.24149659863946
"ac_pneumonia_Age2",0.521341463414634,0.642857142857143,0.802816901408451
"ac_pneumonia_Age3",0.43664019584428,0.552,0.69017424242424
"ac_pneumonia_Age4",0.458100558659218,0.645669291338583,0.921348314606742
"ac_pneumonia_Age5",0.783333333333333,0.972413793103448,1.19491525423729
"ac_pneumonia_Age6",0.957952468007313,1.20459770114943,1.85832134474142
"HP_all_raw_Age1",0.577639751552795,0.738095238095238,0.948979591836735
"RP_all_raw_Age1",0.375,0.71900826446281,1.12987012987013
"VS_SP_all_raw_Age1",0.519633507853403,0.683304647160069,0.894144144144144
