"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI"
"ac_pneumonia_Age1",0.568486200890914,0.814866760168303,1.16083916083916
"ac_pneumonia_Age1_0",0.534890360057436,0.795409181636727,1.17378497790869
"ac_pneumonia_Age1_1",0.565015479876161,0.850815850815851,1.28521126760563
"ac_pneumonia_Age2",0.471074380165289,0.66796875,0.955307262569832
"ac_pneumonia_Age3",0.248201438848921,0.367021276595745,0.560975609756098
"ac_pneumonia_Age4",0.272425249169435,0.424870466321244,0.683333333333333
"ac_pneumonia_Age5",0.624815361890694,0.868583162217659,1.208658002456
"ac_pneumonia_Age6",0.700534759358289,1.04174950298211,1.49287749287749
"HP_all_raw_Age1",0.375,0.628378378378378,1.04494382022472
"RP_all_raw_Age1",0.209638554216867,0.379912663755459,0.679821296751967
"VS_SP_all_raw_Age1",0.539402173913043,0.872527472527473,1.34121621621622
