"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"ac_pneumonia_Age1","0.93 (0.77, 1.13)","A00_B99_norota","0.08","0.94 (0.77, 1.21)","Q00_Q99","0.07","0.94 (0.78, 1.23)","L00_L99","0.07","0.94 (0.78, 1.21)"
"ac_pneumonia_Age1_0","0.95 (0.76, 1.16)","R00_R99","0.16","0.95 (0.75, 1.18)","A00_B99_norota","0.08","0.95 (0.75, 1.18)","L00_L99","0.07","0.95 (0.75, 1.18)"
"ac_pneumonia_Age1_1","0.93 (0.75, 1.24)","R00_R99","0.11","0.95 (0.76, 1.24)","L00_L99","0.09","0.98 (0.77, 1.26)","pandemic","0.07","1 (0.78, 1.26)"
"ac_pneumonia_Age2","0.64 (0.52, 0.8)","L00_L99","0.22","0.65 (0.49, 0.81)","R00_R99","0.08","0.65 (0.49, 0.81)","S00_T88","0.07","0.65 (0.47, 0.8)"
"ac_pneumonia_Age3","0.55 (0.44, 0.69)","L00_L99","0.19","0.54 (0.4, 0.7)","R00_R99","0.16","0.54 (0.4, 0.7)","K00_K95","0.11","0.54 (0.4, 0.7)"
"ac_pneumonia_Age4","0.65 (0.46, 0.92)","M00_M99","0.64","0.75 (0.54, 1)","N00_N99","0.49","0.72 (0.48, 0.95)","pandemic","0.42","0.72 (0.49, 0.95)"
"ac_pneumonia_Age5","0.97 (0.78, 1.19)","H00_H99","0.11","0.98 (0.82, 1.27)","A00_B99_norota","0.09","0.98 (0.8, 1.26)","N00_N99","0.07","0.98 (0.81, 1.27)"
"ac_pneumonia_Age6","1.2 (0.96, 1.86)","H00_H99","0.9","1.71 (1.28, 2.37)","E00_E89","0.06","1.7 (1.3, 2.41)","E10_E14","0.05","1.74 (1.32, 2.41)"
"HP_all_raw_Age1","0.74 (0.58, 0.95)","L00_L99","0.7","0.72 (0.56, 0.96)","R00_R99","0.13","0.72 (0.57, 1)","A00_B99_norota","0.1","0.73 (0.57, 1)"
"RP_all_raw_Age1","0.72 (0.38, 1.13)","A00_B99_norota","0.23","0.67 (0.36, 1.12)","Q00_Q99","0.17","0.68 (0.36, 1.12)","R00_R99","0.15","0.64 (0.36, 1.09)"
"VS_SP_all_raw_Age1","0.68 (0.52, 0.89)","Q00_Q99","0.09","0.68 (0.51, 0.93)","A00_B99_norota","0.08","0.69 (0.52, 0.93)","L00_L99","0.07","0.69 (0.52, 0.97)"
