"","Lower CI","Point Estimate","Upper CI"
"ac_pneumonia_Age1",0.767477989076447,0.945484133441823,1.14822134387352
"ac_pneumonia_Age1_0",0.722574796010879,0.921387283236994,1.16011644832606
"ac_pneumonia_Age1_1",0.76355847258497,0.9125,1.0960960960961
"ac_pneumonia_Age2",0.626373626373626,0.842364532019704,1.14
"ac_pneumonia_Age3",0.309417040358744,0.534883720930233,0.92
"ac_pneumonia_Age4",0.420512820512821,0.573426573426573,0.811881188118812
"ac_pneumonia_Age5",0.799621928166352,1.06549118387909,1.41946308724832
"ac_pneumonia_Age6",0.857610474631751,1.09853249475891,1.40106951871658
"HP_all_raw_Age1",0.53448275862069,0.715384615384615,0.978947368421053
"RP_all_raw_Age1",0.520958083832335,0.701612903225806,0.945652173913043
"VS_SP_all_raw_Age1",0.546831955922865,0.719202898550725,0.949760765550239
