"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"ac_pneumonia_Age1","0.772593548985651","0.928115015974441","1.14036166471617","R00_R99","0.07","0.78","0.94","1.2","Q00_Q99","0.07","0.77","0.94","1.21","A00_B99_norota","0.07","0.77","0.94","1.18"
"ac_pneumonia_Age1_0","0.774519587307877","0.95221027479092","1.16691068814056","R00_R99","0.15","0.73","0.95","1.16","L00_L99","0.08","0.74","0.94","1.17","A00_B99_norota","0.08","0.74","0.95","1.18"
"ac_pneumonia_Age1_1","0.758835758835759","0.950520833333333","1.25429553264605","R00_R99","0.13","0.76","0.97","1.24","L00_L99","0.1","0.76","0.97","1.26","pandemic","0.07","0.78","1.01","1.28"
"ac_pneumonia_Age2","0.526153846153846","0.647727272727273","0.795348837209302","L00_L99","0.21","0.5","0.65","0.82","R00_R99","0.06","0.48","0.65","0.8","A00_B99_norota","0.06","0.5","0.65","0.81"
"ac_pneumonia_Age3","0.425925925925926","0.547619047619048","0.696969696969697","L00_L99","0.19","0.4","0.55","0.7","R00_R99","0.13","0.39","0.54","0.7","K00_K95","0.11","0.4","0.54","0.7"
"ac_pneumonia_Age4","0.460674157303371","0.656","0.942528735632184","M00_M99","0.61","0.54","0.74","1","N00_N99","0.53","0.51","0.72","0.96","pandemic","0.42","0.5","0.73","0.95"
"ac_pneumonia_Age5","0.770491803278688","0.972413793103448","1.1816469884043","H00_H99","0.11","0.81","0.99","1.3","N00_N99","0.09","0.81","0.98","1.27","A00_B99_norota","0.08","0.82","0.99","1.29"
"ac_pneumonia_Age6","0.954462659380692","1.2073732718894","1.85815602836879","H00_H99","0.91","1.29","1.67","2.35","E00_E89","0.1","1.31","1.74","2.45","E10_E14","0.09","1.3","1.67","2.41"
"HP_all_raw_Age1","0.584905660377358","0.744","0.939393939393939","L00_L99","0.74","0.55","0.72","0.97","R00_R99","0.13","0.57","0.72","0.98","A00_B99_norota","0.1","0.56","0.72","1.01"
"RP_all_raw_Age1","0.360995850622407","0.68503937007874","1.11538461538462","A00_B99_norota","0.2","0.37","0.7","1.13","R00_R99","0.14","0.37","0.65","1.12","L00_L99","0.14","0.38","0.65","1.1"
"VS_SP_all_raw_Age1","0.516927083333333","0.686851211072664","0.894144144144144","R00_R99","0.08","0.51","0.68","0.92","A00_B99_norota","0.08","0.52","0.69","0.93","Q00_Q99","0.08","0.52","0.69","0.96"
