"","STL+PCA Estimate (95% CI)"
"9_1","0.49 (0.23, 0.96)"
"9_10","2.41 (0.89, 6.74)"
"9_11","0.98 (0.64, 1.52)"
"9_12","0.18 (0.06, 0.5)"
"9_13","0.13 (0.05, 0.35)"
"9_14","0.62 (0.4, 0.99)"
"9_15","0.08 (0.03, 0.2)"
"9_16","0.24 (0.13, 0.46)"
"9_17","0.31 (0.11, 0.86)"
"9_19","0.88 (0.6, 1.31)"
"9_2","0.95 (0.56, 1.57)"
"9_20","0.71 (0.39, 1.28)"
"9_21","0.67 (0.51, 0.88)"
"9_22","0.56 (0.37, 0.84)"
"9_23","0.96 (0.6, 1.5)"
"9_24","0.43 (0.28, 0.65)"
"9_25","0.84 (0.44, 1.52)"
"9_26","2.59 (0.7, 8.93)"
"9_27","0.77 (0.52, 1.09)"
"9_28","1.48 (0.92, 2.31)"
"9_29","0.62 (0.27, 1.42)"
"9_30","0.56 (0.33, 0.91)"
"9_31","0.91 (0.59, 1.42)"
"9_32","1 (0.74, 1.35)"
"9_4","0.88 (0.68, 1.11)"
"9_5","0.58 (0.27, 1.19)"
"9_7","0.78 (0.6, 1.01)"
"9_8","0.79 (0.62, 0.99)"
"9_9","0.96 (0.78, 1.17)"
