"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"9_1","0.38 (0.19, 0.77)","0.69 (0.41, 1.14)","cJ20_J22","0.77","0.67 (0.38, 1.25)","ach_noj","0.61","0.75 (0.43, 1.35)","P00_99","0.44","0.77 (0.46, 1.3)"
"9_10","0.35 (0.19, 0.64)","0.76 (0.57, 1.11)","cJ20_J22","0.98","0.87 (0.67, 1.31)","ach_noj","0.57","0.84 (0.66, 1.13)","P00_99","0.48","0.85 (0.67, 1.12)"
"9_11","1.27 (0.84, 1.96)","0.87 (0.68, 1.11)","cJ20_J22","1","1.16 (0.78, 1.46)","Q00_99","0.13","1.18 (0.84, 1.45)","P00_99","0.12","1.18 (0.81, 1.45)"
"9_12","0.61 (0.33, 1.03)","0.7 (0.47, 0.87)","cJ20_J22","1","0.69 (0.37, 0.97)","P00_99","0.21","0.72 (0.39, 0.98)","ach_noj","0.19","0.79 (0.58, 1.04)"
"9_13","0.42 (0.2, 0.87)","0.63 (0.33, 1.29)","P05_07","0.93","0.79 (0.37, 1.53)","ach_noj","0.67","0.78 (0.33, 1.49)","P00_99","0.57","1.15 (0.7, 1.62)"
"9_14","0.86 (0.56, 1.31)","1.2 (0.88, 1.7)","cJ20_J22","0.99","1.11 (0.77, 1.6)","ach_noj","0.62","1.12 (0.76, 1.69)","E00_99","0.47","1.07 (0.72, 1.6)"
"9_15","1.19 (0.69, 2.09)","0.72 (0.62, 0.86)","cJ20_J22","1","0.97 (0.71, 1.89)","E00_99","1","0.91 (0.67, 1.79)","G00_99_SY","0.14","1.13 (0.68, 2)"
"9_16","0.68 (0.42, 1.12)","1.09 (0.83, 1.27)","cJ20_J22","1","0.69 (0.4, 1.27)","P05_07","0.15","0.72 (0.44, 1.28)","P00_99","0.11","0.71 (0.44, 1.32)"
"9_17","1.41 (0.66, 2.97)","0.72 (0.55, 0.95)","cJ20_J22","1","0.7 (0.49, 1.03)","P05_07","0.26","0.68 (0.49, 0.98)","ach_noj","0.2","0.68 (0.49, 0.91)"
"9_19","0.74 (0.46, 1.17)","0.71 (0.57, 1)","cJ20_J22","0.99","0.81 (0.65, 1.18)","P05_07","0.63","0.76 (0.63, 0.96)","P00_99","0.35","0.75 (0.63, 0.88)"
"9_2","1.35 (0.73, 2.55)","0.97 (0.72, 1.31)","Q00_99","0.59","1.03 (0.78, 1.34)","ach_noj","0.29","1.03 (0.8, 1.31)","P00_99","0.28","1.02 (0.81, 1.26)"
"9_20","0.91 (0.5, 1.66)","0.95 (0.59, 1.2)","cJ20_J22","1","0.79 (0.39, 1.52)","Q00_99","0.28","0.8 (0.45, 1.5)","ach_noj","0.27","0.87 (0.5, 1.56)"
"9_21","0.86 (0.47, 1.5)","0.84 (0.7, 1)","cJ20_J22","1","0.82 (0.62, 1.07)","P00_99","0.17","0.86 (0.64, 1.1)","ach_noj","0.15","0.91 (0.69, 1.15)"
"9_22","0.62 (0.38, 1.01)","0.65 (0.44, 0.84)","ach_noj","0.48","0.68 (0.49, 0.84)","P00_99","0.34","0.69 (0.55, 0.83)","Q00_99","0.17","0.7 (0.58, 0.83)"
"9_24","0.73 (0.45, 1.18)","0.67 (0.4, 0.95)","cJ20_J22","1","0.83 (0.47, 1.28)","P00_99","0.5","0.92 (0.59, 1.3)","Q00_99","0.39","0.82 (0.56, 1.24)"
"9_25","1.86 (0.92, 3.71)","0.86 (0.62, 1.22)","cJ20_J22","1","1.05 (0.75, 1.46)","ach_noj","0.42","1.04 (0.76, 1.42)","P00_99","0.36","1.05 (0.79, 1.39)"
"9_26","1.25 (0.7, 2.22)","0.77 (0.52, 1.04)","cJ20_J22","1","0.79 (0.51, 1.44)","K00_99","0.32","0.78 (0.49, 1.3)","P05_07","0.24","0.8 (0.51, 1.64)"
"9_27","0.66 (0.38, 1.16)","1.31 (1.09, 1.53)","cJ20_J22","1","1.07 (0.76, 1.37)","P05_07","0.28","1.08 (0.77, 1.37)","P00_99","0.13","1.12 (0.9, 1.4)"
"9_28","1.42 (0.89, 2.28)","1.13 (0.76, 1.51)","cJ20_J22","1","0.77 (0.57, 1.24)","P00_99","0.95","0.72 (0.57, 0.96)","P05_07","0.22","0.71 (0.56, 0.9)"
"9_29","0.69 (0.3, 1.6)","0.84 (0.53, 1.41)","cJ20_J22","1","0.81 (0.49, 1.7)","P00_99","0.92","0.69 (0.46, 1.37)","ach_noj","0.4","0.65 (0.44, 0.92)"
"9_30","0.65 (0.36, 1.14)","0.83 (0.7, 1)","cJ20_J22","1","0.88 (0.56, 1.16)","K00_99","0.21","0.88 (0.54, 1.18)","P05_07","0.11","0.86 (0.52, 1.13)"
"9_31","1.31 (0.65, 2.66)","1.03 (0.47, 1.7)","Q00_99","0.55","1 (0.4, 1.53)","ach_noj","0.43","1.12 (0.74, 1.52)","P00_99","0.38","1.14 (0.77, 1.59)"
"9_32","1.03 (0.51, 2.01)","1.06 (0.81, 1.34)","cJ20_J22","0.32","1.08 (0.84, 1.35)","P00_99","0.16","1.1 (0.85, 1.37)","ach_noj","0.14","1.12 (0.89, 1.38)"
"9_4","1.1 (0.56, 2.08)","0.87 (0.72, 1.04)","cJ20_J22","1","0.92 (0.71, 1.15)","ach_noj","0.46","0.93 (0.73, 1.17)","P00_99","0.32","0.95 (0.74, 1.19)"
"9_5","0.73 (0.39, 1.35)","0.79 (0.46, 1.45)","ach_noj","0.87","1.06 (0.45, 1.66)","cJ20_J22","0.76","1.21 (0.48, 1.79)","P00_99","0.3","1.36 (0.95, 1.78)"
"9_7","1.02 (0.62, 1.65)","0.94 (0.76, 1.16)","cJ20_J22","1","1 (0.77, 1.32)","P00_99","0.44","1.01 (0.78, 1.32)","P05_07","0.37","0.96 (0.77, 1.21)"
"9_8","0.93 (0.58, 1.51)","0.98 (0.75, 1.26)","cJ20_J22","1","0.9 (0.64, 1.25)","ach_noj","0.49","0.83 (0.61, 1.14)","P00_99","0.48","1.1 (0.82, 1.45)"
"9_9","0.92 (0.53, 1.55)","1.05 (0.92, 1.19)","cJ20_J22","1","1.14 (0.95, 1.36)","A10_B99_nopneumo","0.92","1.16 (0.96, 1.39)","Z00_99","0.67","1.11 (0.9, 1.38)"
