"","Time trend Estimate (95% CI)"
"9_1","0.38 (0.19, 0.77)"
"9_10","0.35 (0.19, 0.64)"
"9_11","1.27 (0.84, 1.96)"
"9_12","0.61 (0.33, 1.03)"
"9_13","0.42 (0.2, 0.87)"
"9_14","0.86 (0.56, 1.31)"
"9_15","1.19 (0.69, 2.09)"
"9_16","0.68 (0.42, 1.12)"
"9_17","1.41 (0.66, 2.97)"
"9_19","0.74 (0.46, 1.17)"
"9_2","1.35 (0.73, 2.55)"
"9_20","0.91 (0.5, 1.66)"
"9_21","0.86 (0.47, 1.5)"
"9_22","0.62 (0.38, 1.01)"
"9_23","0.61 (0.27, 1.4)"
"9_24","0.73 (0.45, 1.18)"
"9_25","1.86 (0.92, 3.71)"
"9_26","1.25 (0.7, 2.22)"
"9_27","0.66 (0.38, 1.16)"
"9_28","1.42 (0.89, 2.28)"
"9_29","0.69 (0.3, 1.6)"
"9_30","0.65 (0.36, 1.14)"
"9_31","1.31 (0.65, 2.66)"
"9_32","1.03 (0.51, 2.01)"
"9_4","1.1 (0.56, 2.08)"
"9_5","0.73 (0.39, 1.35)"
"9_7","1.02 (0.62, 1.65)"
"9_8","0.93 (0.58, 1.51)"
"9_9","0.92 (0.53, 1.55)"
