"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","9_1",0.211,0.084,0.705,0
"2","9_10",0.426,0,0,0.574
"3","9_11",0.869,0,0.131,0
"4","9_12",1,0,0,0
"5","9_13",0.132,0,0,0.868
"6","9_14",0.343,0,0,0.656
"7","9_15",0.931,0,0,0.069
"8","9_16",0.832,0,0,0.168
"9","9_17",0.899,0,0.101,0
"10","9_19",0.766,0,0,0.234
"11","9_2",0.684,0.213,0.103,0
"12","9_20",1,0,0,0
"13","9_21",1,0,0,0
"14","9_22",0,0,1,0
"15","9_23",0.772,0,0,0.227
"16","9_24",0.485,0,0,0.515
"17","9_25",0.912,0,0.088,0
"18","9_26",0.783,0,0.217,0
"19","9_27",0.888,0,0,0.112
"20","9_28",0.913,0.073,0.014,0
"21","9_29",0.865,0,0,0.135
"22","9_30",0.967,0.033,0,0
"23","9_31",0,0.053,0.639,0.307
"24","9_32",0.94,0,0,0.06
"25","9_4",0.98,0,0,0.02
"26","9_5",0,0,0.667,0.333
"27","9_7",0.931,0,0,0.069
"28","9_8",0.392,0,0,0.608
"29","9_9",0.835,0,0,0.165
