"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"9_1","0.420725388601036","0.716049382716049","1.26875","cJ20_J22","0.76","0.38","0.69","1.25","ach_noj","0.54","0.42","0.73","1.36","Q00_99","0.41","0.47","0.87","1.47"
"9_10","0.567307692307692","0.753993610223642","1.08015346503474","cJ20_J22","0.98","0.67","0.86","1.24","ach_noj","0.46","0.67","0.85","1.13","P00_99","0.39","0.67","0.85","1.1"
"9_11","0.684187269365674","0.865760407816483","1.08867521367521","cJ20_J22","1","0.79","1.16","1.45","Q00_99","0.11","0.79","1.18","1.47","P00_99","0.11","0.81","1.17","1.45"
"9_12","0.473123732251521","0.700976709241172","0.858325666973321","cJ20_J22","1","0.38","0.7","1.01","P00_99","0.21","0.36","0.72","0.96","ach_noj","0.2","0.59","0.79","1.06"
"9_13","0.329310507514996","0.666666666666667","1.42702702702703","P05_07","0.96","0.4","0.8","1.57","ach_noj","0.74","0.34","0.77","1.48","P00_99","0.64","0.67","1.12","1.63"
"9_14","0.867303259795851","1.18702118071203","1.64015075170107","cJ20_J22","1","0.76","1.1","1.62","ach_noj","0.62","0.74","1.09","1.69","P00_99","0.49","0.99","1.43","1.94"
"9_15","0.622394010489467","0.718454755406257","0.845355731225296","cJ20_J22","1","0.67","0.91","1.67","E00_99","1","0.66","0.9","1.96","S00_T99","0.11","0.69","1","2.04"
"9_16","0.823770417106161","1.08847497089639","1.26865671641791","cJ20_J22","1","0.39","0.68","1.24","P05_07","0.15","0.44","0.72","1.32","P00_99","0.11","0.44","0.73","1.32"
"9_17","0.545578231292517","0.717352415026834","0.934731934731935","cJ20_J22","1","0.5","0.69","1.07","P05_07","0.24","0.5","0.68","0.98","ach_noj","0.19","0.49","0.67","0.91"
"9_19","0.569686777127095","0.696692111959287","0.9934868321892","cJ20_J22","0.99","0.65","0.79","1.12","P05_07","0.58","0.64","0.76","0.96","P00_99","0.29","0.63","0.75","0.88"
"9_2","0.713393476752255","0.966165413533835","1.28826095980227","Q00_99","0.63","0.79","1.04","1.35","ach_noj","0.3","0.82","1.04","1.33","P00_99","0.28","0.81","1.03","1.28"
"9_20","0.610977564102564","0.954317897371715","1.21031746031746","cJ20_J22","1","0.39","0.77","1.46","Q00_99","0.28","0.46","0.8","1.48","ach_noj","0.25","0.47","0.84","1.56"
"9_21","0.684438040345821","0.838728663919953","1.00140548137737","cJ20_J22","1","0.6","0.8","1.06","P00_99","0.18","0.65","0.86","1.1","ach_noj","0.17","0.7","0.91","1.14"
"9_22","0.446973341514112","0.652","0.841652323580034","ach_noj","0.48","0.5","0.69","0.85","P00_99","0.35","0.55","0.69","0.83","Q00_99","0.17","0.57","0.7","0.83"
"9_24","0.418184431654518","0.674849972722313","0.940684410646388","cJ20_J22","1","0.5","0.85","1.31","P00_99","0.49","0.62","0.94","1.32","Q00_99","0.42","0.57","0.83","1.24"
"9_25","0.626009693053312","0.868834080717489","1.23211446740859","cJ20_J22","1","0.76","1.05","1.48","ach_noj","0.43","0.77","1.05","1.44","P00_99","0.37","0.79","1.04","1.39"
"9_26","0.511153173230209","0.771861260381045","1.02399586265911","cJ20_J22","1","0.47","0.78","1.22","K00_99","0.29","0.46","0.78","1.33","P05_07","0.28","0.57","0.83","1.88"
"9_27","1.09146140504937","1.30358632193495","1.52785923753666","cJ20_J22","1","0.77","1.06","1.35","P05_07","0.31","0.79","1.07","1.37","P00_99","0.14","0.9","1.12","1.43"
"9_28","0.777438197589918","1.12858660998937","1.51066856330014","cJ20_J22","1","0.59","0.79","1.29","P00_99","0.96","0.57","0.71","0.93","P05_07","0.23","0.56","0.69","0.89"
"9_29","0.530747387686827","0.819645732689211","1.31865284974093","cJ20_J22","1","0.51","0.87","1.76","P00_99","0.92","0.44","0.69","1.29","ach_noj","0.39","0.43","0.65","0.93"
"9_30","0.6983511205021","0.833659491193738","1.00473674346451","cJ20_J22","1","0.6","0.9","1.17","K00_99","0.2","0.53","0.88","1.18","P05_07","0.11","0.49","0.85","1.13"
"9_31","0.523105360443623","1.01615798922801","1.72036474164134","Q00_99","0.56","0.42","1.03","1.52","ach_noj","0.4","0.71","1.12","1.57","P00_99","0.35","0.76","1.13","1.53"
"9_32","0.824434389140271","1.06674473067916","1.35163204747774","cJ20_J22","0.31","0.84","1.09","1.37","P00_99","0.17","0.86","1.09","1.35","ach_noj","0.15","0.88","1.12","1.39"
"9_4","0.716901408450704","0.859797297297297","1.02828282828283","cJ20_J22","1","0.71","0.92","1.15","ach_noj","0.47","0.73","0.93","1.16","P00_99","0.31","0.74","0.94","1.18"
"9_5","0.440833333333333","0.786032689450223","1.50932637049113","ach_noj","0.86","0.44","1.08","1.68","cJ20_J22","0.75","0.51","1.18","1.78","P00_99","0.3","0.96","1.36","1.78"
"9_7","0.757668711656442","0.93763557483731","1.15189873417722","cJ20_J22","1","0.79","1.02","1.33","P00_99","0.41","0.79","1.03","1.39","Q00_99","0.36","0.79","1.02","1.32"
"9_8","0.756157956793843","0.978887744593203","1.24903498415957","cJ20_J22","1","0.64","0.89","1.23","P00_99","0.5","0.75","0.98","1.31","ach_noj","0.48","0.81","1.1","1.45"
"9_9","0.914918414918415","1.04492512479201","1.18089507333584","cJ20_J22","1","0.94","1.14","1.37","A10_B99_nopneumo","0.93","0.96","1.16","1.37","Z00_99","0.73","0.89","1.12","1.38"
