"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","1.1 (0.96, 1.24)","0.9 (0.85, 0.95)","m_466","1","0.86 (0.65, 0.95)","X_760_779","0.16","0.91 (0.71, 0.97)","X_V00_V91","0.12","0.91 (0.72, 0.97)"
"1","0.98 (0.85, 1.12)","0.92 (0.85, 0.96)","m_466","1","0.92 (0.82, 0.99)","X_001_139_SY","0.84","0.91 (0.77, 0.97)","X_360_389_SY","0.12","0.91 (0.77, 0.97)"
"2","0.86 (0.76, 0.98)","0.93 (0.88, 0.98)","m_466","1","0.91 (0.81, 0.98)","X_780_799","0.82","0.93 (0.82, 1.02)","X_800_999","0.81","0.93 (0.8, 1.01)"
"3","0.88 (0.78, 0.98)","0.97 (0.89, 1.03)","m_466","1","0.93 (0.84, 1.03)","X_780_799","0.72","0.91 (0.83, 1.07)","X_280_289","0.18","0.9 (0.83, 1.07)"
"4","0.88 (0.78, 1)","0.96 (0.86, 1.05)","m_466","0.97","0.87 (0.77, 1.16)","X_240_279","0.88","0.94 (0.8, 1.19)","X_780_799","0.21","0.97 (0.82, 1.32)"
"5","0.94 (0.84, 1.07)","1.15 (1.03, 1.23)","m_466","1","0.95 (0.64, 1.04)","X_V00_V91","0.55","0.95 (0.58, 1.02)","m_599","0.4","0.95 (0.61, 1.05)"
"6","0.9 (0.84, 0.99)","0.93 (0.86, 1.03)","m_466","1","0.73 (0.45, 1)","X_240_279","0.98","0.9 (0.52, 1.03)","m_574","0.67","0.94 (0.51, 1.05)"
"7","0.9 (0.82, 0.97)","1.01 (0.86, 1.08)","m_466","1","0.73 (0.54, 1.02)","X_240_279","0.84","0.66 (0.45, 0.84)","m_574","0.78","0.77 (0.46, 0.87)"
"8","0.89 (0.81, 0.98)","0.98 (0.91, 1.04)","m_466","1","0.82 (0.7, 0.93)","X_240_279","1","0.7 (0.61, 0.78)","X_780_799","1","0.72 (0.65, 0.83)"
"9","0.94 (0.84, 1.06)","0.92 (0.85, 0.97)","m_466","1","0.79 (0.72, 0.99)","X_001_139_SY","0.8","0.79 (0.72, 0.98)","X_800_999","0.06","0.84 (0.73, 0.99)"
