"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0","0.84866581980886","0.896387526126453","0.954794716513579","m_466","1","0.65","0.86","0.95","X_760_779","0.16","0.71","0.91","0.97","X_V00_V91","0.12","0.72","0.91","0.97"
"1","0.854604652447091","0.915000884486114","0.958180891955726","m_466","1","0.82","0.92","0.99","X_001_139_SY","0.84","0.77","0.91","0.97","X_360_389_SY","0.12","0.77","0.91","0.97"
"2","0.881938358506805","0.927980264204998","0.979257641921397","m_466","1","0.81","0.91","0.98","X_780_799","0.82","0.82","0.93","1.02","X_800_999","0.81","0.8","0.93","1.01"
"3","0.892624563155532","0.966297801643575","1.03164359512751","m_466","1","0.84","0.93","1.03","X_780_799","0.72","0.83","0.91","1.07","X_280_289","0.18","0.83","0.9","1.07"
"4","0.862570477905539","0.95756149914526","1.05022883368132","m_466","0.97","0.77","0.87","1.16","X_240_279","0.88","0.8","0.94","1.19","X_780_799","0.21","0.82","0.97","1.32"
"5","1.02619377286416","1.15403902914291","1.22812059965625","m_466","1","0.64","0.95","1.04","X_V00_V91","0.55","0.58","0.95","1.02","m_599","0.4","0.61","0.95","1.05"
"6","0.863779843651856","0.929258794482245","1.02512444370447","m_466","1","0.45","0.73","1","X_240_279","0.98","0.52","0.9","1.03","m_574","0.67","0.51","0.94","1.05"
"7","0.858648924553015","1.00770011669912","1.07601938932279","m_466","1","0.54","0.73","1.02","X_240_279","0.84","0.45","0.66","0.84","m_574","0.78","0.46","0.77","0.87"
"8","0.913636932802232","0.978788386961869","1.03548133739566","m_466","1","0.7","0.82","0.93","X_240_279","1","0.61","0.7","0.78","X_780_799","1","0.65","0.72","0.83"
"9","0.851367766318624","0.924842698661813","0.970904343462055","m_466","1","0.72","0.79","0.99","X_001_139_SY","0.8","0.72","0.79","0.98","X_800_999","0.06","0.73","0.84","0.99"
