date,age,Inf,Pneum,A20_B99_excl_bac,A16_A19,A16,A17,A18,A19,A20_A48,A39,A50_A79,A80_B34,B05_B06,B20_B24,B35_B49,B45,B50_B89,B99,C00_D49,D50_D89,A20_B99_a_D50_D89,E00_E89,E10_E14,E40_E46,F01_F99,G05_G99,H00_H99_excl_cj_om,I00_I99,I60_I64,J00_J99_excl_PI_bron,J20_J22,K00_K95,K35,K80,L00_L99,M00_M99,N00_N99,N39,O00_O99,P00_P15,P05_P07,Q00_Q99,R00_R99,R00_R09,R10_R19,R20_R39,R40_R49,R50_R69,R70_R94,R95_R99,S00_T88,V01_Y99,denom
1999-01-01,Less than one month,0,63,5,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,6,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,321,269,48,18,3,0,0,0,3,0,12,3,7,81220
1999-02-01,Less than one month,0,55,12,0,0,0,0,0,1,0,5,2,0,3,0,0,0,1,0,4,16,5,4,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,338,275,29,27,6,0,0,0,1,0,20,4,11,81220
1999-03-01,Less than one month,0,68,7,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,1,3,10,4,2,2,0,2,0,1,0,3,0,0,0,0,0,0,4,0,0,436,348,49,22,4,0,1,0,5,0,12,13,18,81220
1999-04-01,Less than one month,0,59,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,5,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,296,246,41,10,1,1,0,0,2,0,6,3,3,81220
1999-05-01,Less than one month,0,71,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,303,241,40,11,4,0,0,0,1,0,6,8,11,81220
1999-06-01,Less than one month,0,54,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,1,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0,0,304,248,37,14,0,0,1,0,1,1,11,2,7,81220
1999-07-01,Less than one month,0,50,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,6,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,280,230,44,11,2,0,0,0,2,1,6,4,7,81220
1999-08-01,Less than one month,0,45,8,0,0,0,0,0,0,0,3,2,0,2,0,0,1,0,0,5,13,3,1,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,265,214,34,22,5,0,0,0,2,0,16,8,11,81220
1999-09-01,Less than one month,0,44,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,169,32,10,2,0,0,0,1,0,7,4,11,81220
1999-10-01,Less than one month,0,41,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,283,240,30,13,1,0,0,0,2,0,10,5,7,81220
