"","x"
"1",3192
"2",3691
"3",6131
"4",5044
"5",4694
"6",4986
"7",4588
"8",4902
"9",4525
"10",4029
"11",3339
"12",3206
"13",3405
"14",3212
"15",4117
"16",4397
"17",5018
"18",4900
"19",5167
"20",4513
"21",3802
"22",4028
"23",3550
"24",3531
"25",4145
"26",3005
"27",4036
"28",4273
"29",5739
"30",5593
"31",5885
"32",4997
"33",4463
"34",3782
"35",3707
"36",3609
"37",4140
"38",3719
"39",4687
"40",4538
"41",5385
"42",6341
"43",6106
"44",5374
"45",4734
"46",4423
"47",3829
"48",3736
"49",3945
"50",3589
"51",4373
"52",4704
"53",5403
"54",5482
"55",6410
"56",5340
"57",5483
"58",5638
"59",4406
"60",4684
"61",4926
"62",4428
"63",5760
"64",6033
"65",6549
"66",6646
"67",7337
"68",6763
"69",5748
"70",5768
"71",5515
"72",5105
